序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
13,新北市,2001/09,新店,1.3,0.57,-,21.2,28,-,20.29,4.45,15.83,-,-,-,26.34,-,-,-
14,新北市,2001/09,淡水,1.2,0.6,-48.82,27.0,32,-,21.67,4.87,16.8,-,-,-,26.28,-,-,-
15,新北市,2001/09,汐止,2.7,0.71,-,17.8,-,-,-,-,-,-,-,-,26.19,-,-,-
16,新北市,2001/09,土城,3.3,0.75,-,17.8,34,-,33.54,11.92,21.62,-,-,-,25.94,-,-,-
17,新北市,2001/09,林口,2.4,0.41,-,31.5,29,-,16.25,3.54,12.86,-,-,-,24.89,-,-,-
18,新北市,2001/09,萬里,0.7,0.29,-,36.2,50,-,5.52,0.92,4.64,2.194,0.08,2.12,26.27,-,-,-
19,臺中市,2001/09,西屯,1.4,0.52,-,21.7,37,-,21.54,5.87,15.66,2.135,0.16,1.97,25.43,-,-,-
20,臺中市,2001/09,忠明,2.0,0.78,-,20.6,34,14,31.93,7.3,24.63,-,-,-,26.98,-,-,-
21,臺中市,2001/09,豐原,1.8,0.73,-,26.3,30,-,21.79,3.84,17.95,-,-,-,25.38,-,-,-
22,臺中市,2001/09,沙鹿,2.9,0.47,-,20.6,33,-,17.63,2.58,15.05,-,-,-,26.91,-,-,-
23,臺中市,2001/09,大里,1.8,0.77,-,23.4,29,-,27.28,6.5,20.78,-,-,-,26.86,-,-,-
24,臺南市,2001/09,新營,2.3,0.44,-,27.6,37,-,15.36,2.14,13.27,-,-,-,25.65,-,-,-
25,臺南市,2001/09,善化,3.5,0.37,-,34.3,35,-,11.5,1.5,10.02,-,-,-,25.94,-,-,-
26,臺南市,2001/09,安南,4.9,0.51,-,30.2,48,-,18.21,3.62,14.63,-,-,-,26.68,-,-,-
27,臺南市,2001/09,臺南,3.2,0.6,-,34.1,45,-,18.47,2.62,15.85,-,-,-,26.35,-,-,-
28,高雄市,2001/09,左營,5.3,0.8,-,35.3,47,-,22.24,5.81,16.45,2.424,0.26,2.16,26.57,-,-,-
29,高雄市,2001/09,楠梓,4.7,0.5,-,28.3,43,-,24.82,4.8,20.02,2.416,0.26,2.16,26.7,-,-,-
30,高雄市,2001/09,前金,6.2,0.77,-,32.3,44,-,23.79,5.37,18.42,-,-,-,27.09,-,-,-
31,高雄市,2001/09,前鎮,8.9,-,-,-,60,-,28.06,7.31,20.72,2.24,0.31,1.93,27.25,-,-,-
32,高雄市,2001/09,復興,8.1,1.11,-,-,68,-,37.02,12.26,24.77,2.712,0.51,2.2,27.16,-,-,-
33,高雄市,2001/09,小港,10.8,0.79,-,26.4,52,-,36.9,9.71,27.2,2.306,0.3,2.01,26.43,-,-,-
34,高雄市,2001/09,鳳山,8.0,1.11,-,33.3,47,37,28.08,7.59,20.49,-,-,-,25.23,-,-,-
35,高雄市,2001/09,林園,9.0,0.54,-,36.2,61,38,17.3,3.21,14.09,2.505,0.29,2.22,26.79,-,-,-
36,高雄市,2001/09,大寮,7.1,0.59,-,30.5,51,-,17.23,1.79,15.44,-,-,-,25.51,-,-,-
37,高雄市,2001/09,仁武,8.1,0.55,-,30.3,54,-,25.36,6.02,19.15,3.103,0.34,2.76,26.75,-,-,-
38,高雄市,2001/09,橋頭,4.2,0.77,-,30.2,38,-,17.78,3.51,14.28,2.191,0.1,2.09,26.61,-,-,-
39,高雄市,2001/09,美濃,0.7,0.44,-,32.9,44,-,12.81,1.3,11.51,-,-,-,24.97,-,-,-
40,基隆市,2001/09,基隆,3.6,0.63,-,22.4,-,-,26.71,8.51,18.2,2.395,0.18,2.22,26.48,-,-,-
41,新竹市,2001/09,新竹,3.3,0.56,-,22.0,34,-,21.62,4.0,17.62,2.303,0.15,2.15,27.04,-,-,-
42,嘉義市,2001/09,嘉義,2.1,0.63,-,24.8,55,-,20.32,3.25,17.05,2.02,0.18,1.85,26.97,-,-,-
43,宜蘭縣,2001/09,宜蘭,0.9,0.42,-,31.4,32,-,10.24,1.02,9.22,-,-,-,26.82,-,-,-
44,宜蘭縣,2001/09,冬山,1.8,0.51,-,17.5,32,-,15.78,4.18,11.6,2.26,0.14,2.12,26.36,-,-,-
45,桃園市,2001/09,桃園,6.3,0.66,-,20.2,34,-,27.31,7.64,19.67,2.355,0.31,2.05,25.71,-,-,-
46,桃園市,2001/09,中壢,3.9,1.29,-,-,40,-,59.39,28.67,30.72,2.858,0.81,2.05,25.77,-,-,-
47,桃園市,2001/09,大園,2.6,0.4,-,26.7,40,-,17.94,4.5,13.31,-,-,-,26.68,-,-,-
48,桃園市,2001/09,龍潭,1.9,0.47,-,29.3,35,-,22.69,4.91,17.78,-,-,-,25.02,-,-,-
49,桃園市,2001/09,平鎮,3.2,0.69,-,22.8,47,-,27.19,6.76,20.42,2.187,0.23,1.95,25.72,-,-,-
50,桃園市,2001/09,觀音,3.9,0.31,-,30.3,39,-,14.17,3.18,11.0,3.137,0.23,2.91,26.27,-,-,-
51,新竹縣,2001/09,竹東,1.0,0.47,-,24.4,28,-,16.11,3.21,12.9,-,-,-,25.69,-,-,-
52,新竹縣,2001/09,湖口,2.0,0.46,-,25.6,43,-,18.44,5.66,13.01,-,-,-,26.22,-,-,-
53,苗栗縣,2001/09,苗栗,2.5,0.48,-,21.7,25,-,20.94,6.42,14.53,-,-,-,26.16,-,-,-
54,苗栗縣,2001/09,頭份,3.9,-,-,-,51,-,18.69,4.5,14.32,2.194,0.11,2.08,26.91,-,-,-
55,苗栗縣,2001/09,三義,0.9,0.33,-,28.3,22,-,12.3,1.64,10.66,1.833,0.06,1.77,23.43,-,-,-
56,彰化縣,2001/09,彰化,3.8,0.66,-,20.0,43,-,28.9,7.22,21.69,2.362,0.28,2.08,26.95,-,-,-
57,彰化縣,2001/09,線西,2.7,-,-,-,36,-,18.2,3.38,14.82,2.313,0.13,2.18,26.16,-,-,-
58,彰化縣,2001/09,二林,1.4,0.34,-,24.1,58,-,13.13,2.68,10.56,-,-,-,27.09,-,-,-
59,南投縣,2001/09,南投,0.9,0.55,-,24.0,36,-,21.81,4.51,17.3,2.385,0.21,2.18,25.67,-,-,-
60,南投縣,2001/09,埔里,1.4,0.81,-,34.2,62,-,12.53,2.25,11.5,2.321,0.18,2.14,24.54,-,-,-
61,南投縣,2001/09,竹山,1.4,0.5,-,22.6,38,-,15.99,1.97,14.02,-,-,-,25.62,-,-,-
62,雲林縣,2001/09,斗六,2.7,0.46,-,26.0,37,-,17.64,2.77,14.87,-,-,-,25.28,-,-,-
63,雲林縣,2001/09,崙背,1.7,0.34,-,26.8,44,-,13.27,1.89,11.41,2.36,0.14,2.22,26.49,-,-,-
64,雲林縣,2001/09,臺西,2.8,0.37,-,30.5,59,-,10.71,1.42,9.31,-,-,-,26.7,-,-,-
65,嘉義縣,2001/09,朴子,1.6,0.37,-,28.7,46,-,12.68,1.84,11.03,-,-,-,26.23,-,-,-
66,嘉義縣,2001/09,新港,1.7,0.42,-,28.7,42,-,19.24,7.01,12.23,-,-,-,26.08,-,-,-
67,屏東縣,2001/09,屏東,2.3,-,-,30.8,46,-,17.53,2.38,15.13,2.299,0.18,2.11,26.22,-,-,-
68,屏東縣,2001/09,潮州,1.4,0.39,-,32.6,63,-,10.7,1.06,9.64,-,-,-,26.24,-,-,-
69,屏東縣,2001/09,恆春,1.0,0.3,-,36.1,36,-,2.49,0.28,2.22,-,-,-,26.44,-,-,-
70,臺東縣,2001/09,臺東,0.3,0.57,-,25.7,-,-,10.36,2.57,7.79,2.254,0.09,2.17,27.05,-,-,-
71,花蓮縣,2001/09,花蓮,0.4,0.61,-,19.2,26,-,-,-,-,2.166,0.19,1.98,27.68,-,-,-
72,連江縣,2001/09,馬祖,0.8,0.2,-,51.2,54,-,2.81,0.14,2.67,-,-,-,24.69,-,-,-
,,,,,,,,,,,,,,,,,,,
