序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
43,宜蘭縣,2015/01,宜蘭,2.9,0.4,35.6,50.0,24,11,1.41,9.13,1.43,16.73,69.61
44,宜蘭縣,2015/01,冬山,2.1,0.36,31.6,50.0,24,15,4.11,11.13,1.74,16.25,73.61
45,桃園市,2015/01,桃園,3.7,0.56,31.2,53.0,28,23,4.64,18.16,1.98,15.49,74.21
46,桃園市,2015/01,中壢,4.4,0.99,22.9,73.0,26,49,19.33,29.62,1.6,16.07,67.48
47,桃園市,2015/01,大園,4.2,0.41,34.4,60.0,28,24,5.37,18.36,5.8,16.04,69.83
48,桃園市,2015/01,龍潭,2.7,0.47,35.4,59.0,28,19,3.68,15.3,3.84,15.47,72.26
49,桃園市,2015/01,平鎮,3.7,0.49,29.9,66.0,27,22,3.33,18.55,3.28,15.91,71.73
50,桃園市,2015/01,觀音,5.6,0.37,36.1,69.0,28,17,2.07,14.45,5.14,16.17,68.04
51,新竹縣,2015/01,竹東,2.7,0.46,32.1,49.0,26,17,2.47,14.66,2.36,16.11,69.65
52,新竹縣,2015/01,湖口,3.4,0.4,36.7,56.0,26,16,3.13,13.03,4.86,16.65,67.14
53,苗栗縣,2015/01,苗栗,4.1,0.52,25.4,56.0,31,24,5.01,19.19,2.53,15.8,70.2
54,苗栗縣,2015/01,頭份,2.9,0.44,32.1,59.0,29,21,3.93,16.84,2.54,16.24,68.44
55,苗栗縣,2015/01,三義,2.1,0.34,36.2,50.0,27,12,1.56,10.21,3.2,14.23,78.31
56,彰化縣,2015/01,彰化,3.5,0.57,26.7,63.0,35,23,3.67,19.73,1.88,16.6,66.52
57,彰化縣,2015/01,線西,4.8,0.47,32.2,67.0,35,19,3.21,16.26,4.57,16.71,71.13
58,彰化縣,2015/01,二林,4.1,0.43,31.9,74.0,43,17,2.45,14.29,3.43,16.84,73.61
59,南投縣,2015/01,南投,2.8,0.62,22.8,81.0,41,27,5.1,21.87,1.45,17.85,70.54
60,南投縣,2015/01,埔里,2.1,0.53,29.8,57.0,40,18,2.34,15.77,1.39,16.92,67.52
61,南投縣,2015/01,竹山,3.0,0.5,27.7,86.0,52,21,2.65,18.25,1.35,16.4,70.32
62,雲林縣,2015/01,斗六,3.6,0.52,26.9,80.0,47,24,3.37,20.8,1.68,18.5,69.91
63,雲林縣,2015/01,崙背,4.0,0.47,27.5,79.0,47,18,2.22,15.61,3.07,16.82,71.61
64,雲林縣,2015/01,麥寮,3.8,0.4,36.1,105.0,41,15,2.56,12.72,4.14,17.24,75.3
65,雲林縣,2015/01,臺西,3.7,0.36,39.9,72.0,39,13,1.68,10.85,6.79,16.97,79.12
66,嘉義縣,2015/01,朴子,3.7,0.44,32.9,100.0,39,16,2.19,14.22,2.26,18.59,70.43
67,嘉義縣,2015/01,新港,3.6,0.47,29.8,93.0,42,18,3.33,14.4,2.51,16.55,75.98
68,屏東縣,2015/01,屏東,3.6,0.63,32.9,89.0,46,23,2.42,20.75,1.49,19.74,64.56
69,屏東縣,2015/01,潮州,3.5,0.51,35.6,99.0,45,18,1.98,16.51,1.35,19.03,71.87
70,屏東縣,2015/01,恆春,1.2,0.21,47.8,36.0,16,4,1.7,2.02,8.25,19.92,71.57
71,臺東縣,2015/01,臺東,1.4,0.4,34.8,31.0,16,9,1.86,6.67,2.1,18.82,67.01
72,臺東縣,2015/01,關山,1.5,-,31.3,34.0,17,7,1.53,5.09,1.7,16.14,74.34
73,花蓮縣,2015/01,花蓮,2.0,0.42,30.1,40.0,16,13,1.65,11.03,2.45,16.91,68.1
74,澎湖縣,2015/01,馬公,1.8,0.31,46.5,56.0,27,6,1.98,4.27,5.5,17.34,72.32
75,金門縣,2015/01,金門,7.6,0.54,35.3,112.0,54,22,3.18,18.68,2.96,14.49,64.91
76,連江縣,2015/01,馬祖,4.2,0.46,41.6,75.0,42,11,1.61,9.85,3.88,11.99,72.36
,,,,,,,,,,,,,,
