序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/11,大里,2.8,0.58,451.53,23.6,51,18,25.85,4.95,20.9,2.151,0.251,1.9,1.58,1.17,23.69,-,-,74.07,-
25,臺南市,2018/11,新營,2.9,0.39,-,26.1,69,38,16.67,1.87,14.79,2.172,0.126,2.046,1.9,1.65,23.69,0,0,80.14,0
26,臺南市,2018/11,善化,3,0.35,436.85,26.6,68,32,15.73,2.23,13.49,-,-,-,2.32,2.17,24.06,-,-,82.03,-
27,臺南市,2018/11,安南,3,0.39,-,34.3,74,31,17.96,2.59,15.37,2.248,0.141,2.108,2.13,1.8,24.07,-,-,78.54,-
28,臺南市,2018/11,臺南,3.3,0.48,-,32.9,69,31,19.72,2.49,17.24,2.143,0.174,1.969,2.09,3.37,24.42,-,-,78.47,-
29,高雄市,2018/11,左營,3.7,0.48,-,35.3,72,30,21.16,2.2,18.95,2.202,0.179,2.023,2.08,1.86,24.58,-,-,79.22,-
30,高雄市,2018/11,楠梓,3,0.45,-,31.2,76,40,21.62,3.81,17.81,2.188,0.213,1.975,1.89,1.61,24.49,-,-,77.84,-
31,高雄市,2018/11,前金,3.7,0.51,-,34.6,70,35,20.79,3.36,17.43,2.197,0.171,2.027,2.16,1.89,24.77,-,-,77.4,-
32,高雄市,2018/11,前鎮,4.8,0.63,-,30.4,73,34,31.19,5.94,25.24,2.233,0.228,2.005,1.78,1.52,25.64,-,-,72.95,-
33,高雄市,2018/11,復興,4.5,0.72,-,29.9,71,32,29.25,5.43,23.82,2.29,0.287,2.004,1.03,0.65,26.18,-,-,73.78,-
34,高雄市,2018/11,小港,6.4,0.52,-,30.2,69,32,31.94,5.64,26.3,2.186,0.227,1.959,1.72,1.42,26.58,0.5,6.84,71.93,41.8
35,高雄市,2018/11,鳳山,2.9,0.56,-,33.1,69,35,26.14,2.96,23.17,2.287,0.252,2.035,1.55,1.2,25.85,0,0,70.83,0
36,高雄市,2018/11,林園,5,0.4,-,41,76,38,18.06,1.9,16.16,2.201,0.103,2.098,2.11,1.88,25.53,-,-,76.27,-
37,高雄市,2018/11,大寮,5.2,0.47,-,32.5,67,38,23.83,3.18,20.64,2.374,0.225,2.15,1.66,1.37,24.97,-,-,79.97,-
38,高雄市,2018/11,仁武,4.4,0.47,-,32.2,71,31,24.3,3.46,20.84,2.309,0.231,2.078,1.91,1.68,24.86,-,-,77.11,-
39,高雄市,2018/11,橋頭,3.2,0.45,-,30.5,72,46,20.42,2.36,18.05,-,-,-,2.08,1.77,24.75,1,6.62,76.33,32.7
40,高雄市,2018/11,美濃,1.8,0.35,-,33.1,58,24,9.76,1.54,8.22,-,-,-,0.96,0.7,25.25,-,-,76.11,-
41,基隆市,2018/11,基隆,2.2,0.29,-,32,24,10,11.85,2.21,9.64,1.896,0.082,1.814,1.35,1,21.96,-,-,84.42,-
42,新竹市,2018/11,新竹,2.1,0.38,-,27.4,36,21,-,-,-,1.965,0.131,1.834,2.25,1.73,22.96,-,-,76.82,-
43,嘉義市,2018/11,嘉義,4.2,0.47,-,26.3,68,32,22.12,2.7,19.42,2.063,0.184,1.879,1.85,1.56,23.47,-,-,77.29,-
44,宜蘭縣,2018/11,宜蘭,1.6,0.28,420.05,30.2,21,9,6.34,1,5.32,-,-,-,1.26,0.97,21.88,-,-,83.06,-
45,宜蘭縣,2018/11,冬山,1.7,0.25,-,27.5,21,7,10.01,2.49,7.52,-,-,-,1.49,1.18,21.99,2.77,4.72,85.74,48.8
46,桃園市,2018/11,桃園,4.4,0.43,-,27.1,30,15,17.48,2.38,15.11,2.113,0.14,1.973,2.22,1.86,21.42,-,-,79.88,-
47,桃園市,2018/11,中壢,3,0.9,-,18.9,38,10,45.08,20.04,25.04,2.261,0.321,1.94,1.18,0.57,22.37,-,-,79.34,-
48,桃園市,2018/11,大園,3.5,0.29,-,34.3,31,14,-,-,-,-,-,-,4.38,4.1,22.16,-,-,80,-
49,桃園市,2018/11,龍潭,2.7,0.36,-,33.3,33,18,17.99,4.1,13.89,-,-,-,3.11,2.79,21.18,-,-,83.18,-
50,桃園市,2018/11,平鎮,2.9,0.39,-,31.5,35,16,19.68,2.79,16.89,-,-,-,2.53,2.23,21.91,-,-,81.54,-
51,桃園市,2018/11,觀音,4.9,0.27,-,34.8,36,20,12.43,1.32,11.1,-,-,-,4.43,4.04,21.7,1.11,4.86,84.57,76.39
52,新竹縣,2018/11,竹東,2,0.31,-,25.1,29,14,11.72,2.09,9.63,-,-,-,1.23,0.9,23.22,-,-,80.2,-
53,新竹縣,2018/11,湖口,2.5,0.3,-,35.5,36,17,13.61,2.19,11.41,-,-,-,3.56,3.29,21.73,-,-,79.4,-
54,苗栗縣,2018/11,苗栗,2.7,0.41,-,23,44,22,18.12,3.51,14.61,-,-,-,1.96,1.64,22.71,-,-,80.27,-
55,苗栗縣,2018/11,頭份,2.6,0.35,-,28.6,35,19,16.7,2.59,14.11,2.105,0.112,1.993,2.15,1.76,22.38,-,-,77.71,-
56,苗栗縣,2018/11,三義,2.3,0.28,-,33.6,33,22,9.72,1.2,8.51,-,-,-,2.97,2.75,20.17,0.79,5.94,86.58,10.05
57,彰化縣,2018/11,彰化,2.9,0.51,-,28.5,42,21,20.83,2.48,18.35,2.159,0.202,1.957,1.3,0.87,23.58,-,-,71.83,-
58,彰化縣,2018/11,線西,3.9,0.37,-,32.1,46,22,16.14,1.94,14.19,2.036,0.104,1.932,3.56,3.33,23.08,-,-,80.64,-
59,彰化縣,2018/11,二林,3.8,0.35,-,27.6,61,24,13.35,1.96,11.39,-,-,-,2.6,2.38,22.98,-,-,83.83,-
60,南投縣,2018/11,南投,2.4,0.5,-,21.2,56,27,22.99,3.85,19.14,2.11,0.277,1.832,1.29,0.99,23.58,1.36,6.41,74.63,7.93
61,南投縣,2018/11,埔里,2,0.4,-,28.7,43,22,16.86,3.14,13.73,-,-,-,1.22,0.92,22.23,-,-,78.27,-
62,南投縣,2018/11,竹山,2.5,0.38,-,28.6,54,34,16.96,3.05,13.92,-,-,-,1.32,0.97,23.09,-,-,80.51,-
63,雲林縣,2018/11,斗六,3.1,0.41,-,29.3,63,35,19.21,3.4,15.82,-,-,-,1.54,1.29,24.11,-,-,76.81,-
64,雲林縣,2018/11,麥寮,2.6,0.35,-,29.3,70,29,18.01,5.74,12.28,2.146,0.077,2.069,3.08,2.75,22.46,-,-,83.34,-
65,雲林縣,2018/11,臺西,3.2,0.27,-,38.6,50,22,11.19,2.08,9.12,2.003,0.042,1.963,5.28,5.09,22.84,-,-,87.63,-
66,嘉義縣,2018/11,朴子,3,0.34,-,32,69,27,12.44,1.53,10.9,-,-,-,1.95,1.59,23.9,-,-,84.81,-
67,嘉義縣,2018/11,新港,3.1,0.36,-,29.3,67,31,14.46,1.92,12.53,-,-,-,1.98,1.74,22.99,-,-,79.84,-
68,屏東縣,2018/11,屏東,3,0.48,-,34.7,66,36,16.45,1.15,15.27,2.173,0.135,2.038,1.49,1.18,25.83,-,-,74.93,-
69,屏東縣,2018/11,潮州,2.7,0.37,-,38.6,69,33,12.4,1.05,11.34,-,-,-,1.39,1.11,24.85,-,-,80.34,-
70,屏東縣,2018/11,恆春,1.8,0.13,401.27,39,10,6,2.82,0.76,2.03,-,-,-,6.7,6.44,24.78,1.06,5.17,83.52,36.83
71,臺東縣,2018/11,臺東,1.2,0.28,-,22.8,17,4,6.73,1.75,4.98,-,-,-,2.07,1.71,24.31,0.72,5.02,78.21,36.02
72,臺東縣,2018/11,關山,1.9,-,-,20.5,20,9,6.04,2.78,3.27,-,-,-,1.12,0.78,22.33,-,-,81.56,-
73,花蓮縣,2018/11,花蓮,1.5,0.27,-,23.8,22,4,9.33,2,7.33,-,-,-,1.87,1.63,22.9,3.43,4.78,78.37,36.78
74,澎湖縣,2018/11,馬公,1.5,0.21,-,49.8,29,14,3.67,1.15,2.52,-,-,-,4.62,4.05,23.82,0.88,5.78,76.43,190.19
75,金門縣,2018/11,金門,3.7,0.32,-,38.2,46,23,11.27,1,10.24,-,-,-,2.79,2.35,21.14,1.04,5.22,77.7,36.67
76,連江縣,2018/11,馬祖,2.7,0.28,-,38.3,38,19,5.02,0.78,4.22,-,-,-,2.37,1.9,18.62,1.74,4.72,83.5,41.04
,,,,,,,,,,,,,,,,,,,,,,
