序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
61,南投縣,2013/07,竹山,2.4,0.21,-,25.4,26,8,1.52,6.75,-,-,-,27.2,74.91
62,雲林縣,2013/07,斗六,3.1,0.26,-,26.0,34,10,1.86,7.95,-,-,-,29.21,73.56
63,雲林縣,2013/07,崙背,2.5,0.17,-,22.8,34,9,1.59,6.95,-,-,-,29.28,80.14
64,雲林縣,2013/07,麥寮,2.8,0.16,-,23.2,36,11,3.09,7.91,2.04,0.071,1.966,30.16,79.05
65,雲林縣,2013/07,臺西,3.3,0.13,-,23.3,31,10,2.43,7.12,1.92,0.058,1.857,29.7,80.72
66,嘉義縣,2013/07,朴子,3.0,0.22,-,21.1,44,10,2.25,8.15,-,-,-,29.75,72.18
67,嘉義縣,2013/07,新港,3.0,0.23,-,23.5,36,12,2.98,9.02,-,-,-,29.52,73.79
68,屏東縣,2013/07,屏東,2.6,0.34,-,24.4,37,12,2.12,9.47,1.99,0.121,1.864,29.5,71.04
69,屏東縣,2013/07,潮州,2.0,0.16,-,21.1,37,6,1.56,4.89,-,-,-,28.65,79.57
70,屏東縣,2013/07,恆春,0.9,0.05,398.04,18.2,19,2,1.19,0.95,-,-,-,27.78,77.28
71,臺東縣,2013/07,臺東,0.9,0.24,-,13.1,22,8,3.11,4.51,-,-,-,29.14,76.92
72,臺東縣,2013/07,關山,1.1,-,-,13.4,19,4,1.88,2.24,-,-,-,26.98,77.76
73,花蓮縣,2013/07,花蓮,1.3,0.25,-,13.4,20,8,3.18,5.15,-,-,-,29.44,76.79
74,澎湖縣,2013/07,馬公,2.2,0.15,-,25.9,25,6,1.93,4.43,-,-,-,29.17,75.38
75,金門縣,2013/07,金門,4.0,0.12,-,22.9,30,11,3.0,7.54,-,-,-,28.32,77.33
76,連江縣,2013/07,馬祖,3.6,0.12,-,27.6,32,6,1.96,4.48,-,-,-,27.59,88.79
,,,,,,,,,,,,,,,,
