序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
49,桃園市,1997/07,平鎮,8.1,0.73,19.7,47.0,-,35,10.7,24.1,2.35,0.27,2.07,28.57,-,-
50,桃園市,1997/07,觀音,10.1,0.41,20.0,41.0,-,20,6.03,13.95,2.62,0.13,2.49,28.07,-,-
51,新竹縣,1997/07,竹東,2.0,0.5,18.2,40.0,-,23,6.8,16.24,-,-,-,27.96,-,-
52,新竹縣,1997/07,湖口,5.3,0.5,19.5,42.0,-,26,10.25,15.5,-,-,-,29.07,-,-
53,苗栗縣,1997/07,苗栗,1.9,0.52,12.9,36.0,-,22,7.06,15.26,-,-,-,28.32,-,-
54,苗栗縣,1997/07,頭份,69.5,-,-,34.0,-,32,10.47,21.11,-,-,-,27.98,-,-
55,苗栗縣,1997/07,三義,2.5,0.27,19.8,40.0,-,16,4.31,11.64,2.19,0.13,2.06,25.0,-,-
56,彰化縣,1997/07,彰化,4.7,0.57,17.6,42.0,-,26,6.85,19.55,2.11,0.43,1.72,28.71,-,-
57,彰化縣,1997/07,線西,1.9,-,-,38.0,-,17,5.31,11.75,2.26,0.13,2.13,29.05,-,-
58,彰化縣,1997/07,二林,4.7,0.36,23.4,44.0,-,12,2.31,9.99,-,-,-,28.09,-,-
59,南投縣,1997/07,南投,1.8,0.45,22.8,39.0,-,16,2.79,13.34,2.22,0.19,2.03,27.85,-,-
60,南投縣,1997/07,竹山,2.6,0.36,23.5,36.0,-,10,1.2,8.78,-,-,-,26.29,-,-
61,雲林縣,1997/07,斗六,5.1,0.59,-,40.0,-,18,4.45,13.6,-,-,-,28.17,-,-
62,雲林縣,1997/07,崙背,-,0.34,17.3,46.0,-,10,1.77,8.51,1.85,0.13,1.72,27.8,-,-
63,雲林縣,1997/07,臺西,1.0,0.3,27.4,47.0,-,-,-,-,-,-,-,28.21,-,-
64,嘉義縣,1997/07,朴子,2.1,0.39,15.9,38.0,-,14,3.01,10.53,-,-,-,28.59,-,-
65,嘉義縣,1997/07,新港,2.0,0.46,26.4,45.0,-,17,4.56,12.79,-,-,-,28.02,-,-
66,屏東縣,1997/07,屏東,4.7,0.74,15.6,41.0,-,18,5.3,12.28,2.49,0.31,2.19,28.96,-,-
67,屏東縣,1997/07,潮州,0.5,0.36,19.2,39.0,-,12,2.08,9.47,-,-,-,27.61,-,-
68,屏東縣,1997/07,恆春,0.1,0.2,15.9,15.0,-,1,0.15,0.45,-,-,-,27.7,-,-
69,臺東縣,1997/07,臺東,0.4,0.52,10.8,23.0,-,12,5.15,6.39,2.13,0.1,2.03,28.31,-,-
70,花蓮縣,1997/07,花蓮,0.2,0.36,-,28.0,-,10,3.69,6.33,1.94,0.12,1.82,28.05,-,-
,,,,,,,,,,,,,,,,,
