序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
20,臺中市,1997/09,忠明,4.5,0.97,20.1,54.0,34,36,12.19,24.13,-,-,-,25.91,-,-
21,臺中市,1997/09,豐原,4.2,0.74,21.4,53.0,-,27,5.13,21.77,-,-,-,25.63,-,-
22,臺中市,1997/09,沙鹿,5.8,0.54,22.7,40.0,-,26,4.87,20.7,-,-,-,26.07,-,-
23,臺中市,1997/09,大里,3.6,0.79,21.8,62.0,-,33,8.32,24.98,-,-,-,26.87,-,-
24,臺南市,1997/09,新營,5.1,0.6,25.1,54.0,-,20,3.07,17.06,2.33,0.14,2.2,27.33,-,-
25,臺南市,1997/09,善化,6.3,0.45,27.0,50.0,-,15,2.33,13.18,-,-,-,26.4,-,-
26,臺南市,1997/09,安南,6.8,0.53,30.5,56.0,-,21,4.52,16.75,-,-,-,26.55,-,-
27,臺南市,1997/09,臺南,7.8,0.75,23.8,62.0,-,27,6.12,21.17,2.57,0.32,2.26,26.35,-,-
28,高雄市,1997/09,左營,7.9,0.77,30.0,53.0,-,32,8.09,23.45,2.44,0.36,2.09,27.34,-,-
29,高雄市,1997/09,楠梓,7.4,0.58,26.3,66.0,-,33,8.71,23.96,2.93,0.37,2.56,27.26,-,-
30,高雄市,1997/09,前金,9.4,0.81,28.6,69.0,-,30,8.41,21.76,-,-,-,27.17,-,-
31,高雄市,1997/09,前鎮,15.4,-,-,55.0,-,40,11.8,28.1,2.66,0.41,2.25,27.92,-,-
32,高雄市,1997/09,復興,17.2,0.88,-,73.0,-,43,16.8,26.26,2.96,0.69,2.26,27.54,-,-
33,高雄市,1997/09,小港,14.6,0.73,26.1,59.0,-,38,11.5,26.06,2.55,0.31,2.25,27.58,-,-
34,高雄市,1997/09,鳳山,7.0,0.89,24.9,70.0,38,38,10.73,27.12,-,-,-,27.72,-,-
35,高雄市,1997/09,林園,4.6,0.44,33.4,55.0,36,14,2.17,10.7,-,-,-,27.05,-,-
36,高雄市,1997/09,大寮,7.9,0.63,28.4,69.0,-,20,3.01,17.45,2.57,0.24,2.32,27.94,-,-
37,高雄市,1997/09,仁武,9.3,0.57,25.9,70.0,-,33,9.32,24.09,2.69,0.32,2.37,27.15,-,-
38,高雄市,1997/09,橋頭,6.5,0.6,30.3,61.0,-,26,6.44,19.84,2.48,0.16,2.32,25.91,-,-
39,高雄市,1997/09,美濃,2.5,0.48,30.4,64.0,-,11,0.86,10.42,-,-,-,26.85,-,-
40,基隆市,1997/09,基隆,5.1,0.81,27.4,66.0,-,30,6.72,23.64,2.65,0.35,2.3,25.53,-,-
41,新竹市,1997/09,新竹,6.1,0.73,23.3,37.0,-,29,8.01,20.71,-,-,-,26.81,-,-
42,嘉義市,1997/09,嘉義,5.9,0.77,24.5,53.0,-,31,6.67,23.83,2.73,0.35,2.38,26.66,-,-
43,宜蘭縣,1997/09,宜蘭,1.3,0.55,27.2,38.0,-,14,1.49,12.74,-,-,-,25.03,-,-
44,宜蘭縣,1997/09,冬山,1.2,0.51,19.6,46.0,-,21,6.45,14.47,2.18,0.1,2.08,25.6,-,-
45,桃園市,1997/09,桃園,13.2,0.82,24.9,59.0,-,37,9.52,27.82,2.74,0.42,2.32,25.39,-,-
46,桃園市,1997/09,中壢,8.7,1.41,-,49.0,-,64,32.0,31.96,-,-,-,24.45,-,-
47,桃園市,1997/09,大園,5.1,0.48,27.4,40.0,-,24,6.59,17.84,-,-,-,25.58,-,-
48,桃園市,1997/09,龍潭,3.4,0.57,21.7,40.0,-,24,4.54,19.39,-,-,-,24.32,-,-
49,桃園市,1997/09,平鎮,7.5,0.72,21.7,45.0,-,30,6.37,23.74,2.38,0.26,2.12,26.0,-,-
50,桃園市,1997/09,觀音,9.3,0.38,26.6,44.0,-,20,4.11,16.17,2.58,0.13,2.44,25.51,-,-
51,新竹縣,1997/09,竹東,1.8,0.53,22.1,41.0,-,21,4.56,16.2,-,-,-,25.43,-,-
52,新竹縣,1997/09,湖口,5.5,0.6,24.5,41.0,-,27,7.04,20.19,-,-,-,26.02,-,-
53,苗栗縣,1997/09,苗栗,3.2,0.58,17.5,42.0,-,27,7.22,19.52,-,-,-,25.76,-,-
54,苗栗縣,1997/09,頭份,61.7,-,-,39.0,-,26,6.62,19.12,-,-,-,25.9,-,-
55,苗栗縣,1997/09,三義,2.2,0.34,23.7,38.0,-,18,3.4,14.11,2.24,0.14,2.1,22.66,-,-
56,彰化縣,1997/09,彰化,6.3,0.77,16.1,63.0,-,30,10.39,19.32,2.34,0.58,1.76,26.33,-,-
57,彰化縣,1997/09,線西,3.8,-,-,43.0,-,20,4.68,15.7,2.25,0.12,2.13,26.06,-,-
58,彰化縣,1997/09,二林,5.5,0.43,27.0,44.0,-,16,3.14,13.21,-,-,-,25.64,-,-
59,南投縣,1997/09,南投,2.4,0.65,23.9,51.0,-,24,5.17,18.55,2.21,0.26,1.95,26.24,-,-
60,南投縣,1997/09,竹山,2.7,0.5,25.4,61.0,-,22,2.98,18.95,-,-,-,24.61,-,-
61,雲林縣,1997/09,斗六,6.0,0.76,20.6,62.0,-,27,6.42,20.38,-,-,-,26.27,-,-
62,雲林縣,1997/09,崙背,4.4,0.42,21.5,57.0,-,17,4.75,12.1,2.13,0.19,1.94,25.57,-,-
63,雲林縣,1997/09,臺西,3.7,0.34,33.2,57.0,-,10,1.21,8.64,-,-,-,26.26,-,-
64,嘉義縣,1997/09,朴子,3.4,0.41,19.9,51.0,-,14,1.89,12.36,-,-,-,26.49,-,-
65,嘉義縣,1997/09,新港,4.3,0.54,29.9,71.0,-,19,3.42,15.85,-,-,-,25.89,-,-
66,屏東縣,1997/09,屏東,3.9,0.71,27.5,66.0,-,21,2.61,18.34,2.91,0.42,2.49,27.71,-,-
67,屏東縣,1997/09,潮州,2.7,0.49,30.1,59.0,-,12,1.17,10.51,-,-,-,26.14,-,-
68,屏東縣,1997/09,恆春,0.3,0.24,37.2,21.0,-,1,0.26,0.29,-,-,-,26.16,-,-
69,臺東縣,1997/09,臺東,0.6,0.6,25.0,29.0,-,12,3.05,9.22,2.2,0.1,2.1,25.86,-,-
70,花蓮縣,1997/09,花蓮,0.7,0.6,-,43.0,-,18,4.36,13.99,2.22,0.29,1.93,26.37,-,-
,,,,,,,,,,,,,,,,,
