序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
17,新北市,1998/02,林口,4.1,0.59,24.8,34.0,-,30,8.37,21.99,-,-,-,14.08,-,-
18,新北市,1998/02,萬里,6.1,0.33,35.8,51.0,-,12,2.17,9.75,2.37,0.13,2.23,15.96,-,-
19,臺中市,1998/02,西屯,3.7,0.78,11.4,56.0,-,40,13.57,26.29,2.45,0.37,2.09,17.38,-,-
20,臺中市,1998/02,忠明,3.9,1.36,10.5,66.0,37,62,25.4,35.99,-,-,-,17.56,-,-
21,臺中市,1998/02,豐原,3.5,0.95,13.4,51.0,-,41,12.19,28.9,-,-,-,16.54,-,-
22,臺中市,1998/02,沙鹿,5.7,0.66,19.5,57.0,-,33,8.9,23.68,-,-,-,16.73,-,-
23,臺中市,1998/02,大里,4.4,1.09,12.0,65.0,-,53,19.84,32.66,-,-,-,19.65,-,-
24,臺南市,1998/02,新營,5.7,0.66,20.4,61.0,-,34,7.61,26.07,2.35,0.27,2.08,18.67,-,-
25,臺南市,1998/02,善化,5.8,0.57,17.6,71.0,-,27,5.58,21.28,-,-,-,18.56,-,-
26,臺南市,1998/02,安南,7.0,0.67,21.7,62.0,-,35,8.98,26.29,-,-,-,18.69,-,-
27,臺南市,1998/02,臺南,6.4,0.97,14.7,88.0,-,43,13.52,29.61,2.73,0.47,2.27,18.64,-,-
28,高雄市,1998/02,左營,9.4,0.97,19.1,95.0,-,56,17.83,38.09,-,-,-,20.18,-,-
29,高雄市,1998/02,楠梓,5.6,0.64,18.1,74.0,-,48,15.43,32.85,2.7,0.35,2.34,20.04,-,-
30,高雄市,1998/02,前金,13.0,1.1,16.1,86.0,-,52,17.23,34.73,-,-,-,20.21,-,-
31,高雄市,1998/02,前鎮,18.2,-,-,85.0,-,76,29.61,45.91,3.05,0.72,2.33,20.83,-,-
32,高雄市,1998/02,復興,14.2,1.64,-,95.0,-,87,43.08,43.99,2.76,0.88,1.96,20.66,-,-
33,高雄市,1998/02,小港,22.1,1.16,13.0,99.0,-,85,38.86,46.18,3.03,0.63,2.41,21.0,-,-
34,高雄市,1998/02,鳳山,20.2,1.19,14.0,104.0,47,72,29.82,41.92,-,-,-,20.93,-,-
35,高雄市,1998/02,林園,17.8,0.7,17.4,87.0,52,41,13.37,27.31,3.08,0.76,2.32,21.13,-,-
36,高雄市,1998/02,大寮,13.6,0.9,17.7,103.0,-,42,12.39,29.91,3.0,0.54,2.45,21.47,-,-
37,高雄市,1998/02,仁武,16.9,0.79,16.7,88.0,-,50,15.25,34.75,2.9,0.56,2.34,20.3,-,-
38,高雄市,1998/02,橋頭,6.6,0.78,16.3,75.0,-,44,13.29,30.41,2.37,0.27,2.1,19.48,-,-
39,高雄市,1998/02,美濃,2.1,0.62,18.5,76.0,-,23,3.09,19.82,-,-,-,20.8,-,-
40,基隆市,1998/02,基隆,9.9,1.04,19.8,55.0,-,51,20.32,30.56,2.79,0.5,2.29,15.99,-,-
41,新竹市,1998/02,新竹,4.9,0.84,18.5,54.0,-,38,13.24,24.72,2.69,0.55,2.14,16.16,-,-
42,嘉義市,1998/02,嘉義,6.5,1.08,13.3,87.0,-,51,16.56,34.27,2.89,0.46,2.42,15.83,-,-
43,宜蘭縣,1998/02,宜蘭,1.5,0.56,22.5,36.0,-,19,3.18,15.9,-,-,-,16.68,-,-
44,宜蘭縣,1998/02,冬山,1.6,0.68,19.3,39.0,-,25,7.91,16.81,2.2,0.11,2.09,17.44,-,-
45,桃園市,1998/02,桃園,10.1,0.93,16.1,48.0,-,47,16.55,30.27,2.55,0.39,2.16,15.46,-,-
46,桃園市,1998/02,中壢,8.4,1.5,-,60.0,-,84,43.4,40.71,-,-,-,14.88,-,-
47,桃園市,1998/02,大園,4.0,0.49,29.0,42.0,-,26,8.39,17.13,-,-,-,15.43,-,-
48,桃園市,1998/02,龍潭,5.3,0.66,17.9,45.0,-,35,9.21,25.97,-,-,-,14.76,-,-
49,桃園市,1998/02,平鎮,6.4,0.9,18.1,46.0,-,44,14.11,29.6,2.44,0.35,2.09,15.96,-,-
50,桃園市,1998/02,觀音,6.8,0.47,29.3,42.0,-,18,3.67,14.34,2.18,0.12,2.06,15.36,-,-
51,新竹縣,1998/02,竹東,2.4,0.64,18.5,48.0,-,32,9.28,23.14,-,-,-,15.64,-,-
52,新竹縣,1998/02,湖口,3.7,0.56,28.8,46.0,-,24,5.79,18.26,-,-,-,15.7,-,-
53,苗栗縣,1998/02,苗栗,4.1,0.75,14.4,51.0,-,39,12.78,25.83,-,-,-,15.87,-,-
54,苗栗縣,1998/02,頭份,12.9,-,-,47.0,-,36,13.69,22.38,2.51,0.27,2.24,15.93,-,-
55,苗栗縣,1998/02,三義,2.3,0.31,15.8,38.0,-,25,4.75,20.45,2.28,0.25,2.03,14.15,-,-
56,彰化縣,1998/02,彰化,5.7,0.91,13.2,70.0,-,43,16.77,26.07,2.47,0.65,1.82,17.27,-,-
57,彰化縣,1998/02,線西,5.9,-,-,48.0,-,28,6.7,21.7,2.2,0.16,2.04,17.02,-,-
58,彰化縣,1998/02,二林,4.0,0.5,24.6,71.0,-,24,5.88,18.66,-,-,-,16.92,-,-
59,南投縣,1998/02,南投,2.7,0.88,11.8,61.0,-,40,11.21,28.53,2.41,0.43,1.98,17.83,-,-
60,南投縣,1998/02,竹山,2.8,0.72,13.0,79.0,-,35,8.75,26.07,-,-,-,16.99,-,-
61,雲林縣,1998/02,斗六,5.9,0.94,11.6,73.0,-,37,11.65,25.48,-,-,-,17.64,-,-
62,雲林縣,1998/02,崙背,4.4,0.48,23.4,72.0,-,22,3.41,18.36,5.6,0.64,4.97,16.86,-,-
63,雲林縣,1998/02,臺西,3.7,0.42,30.9,62.0,-,14,1.59,12.47,-,-,-,17.05,-,-
64,嘉義縣,1998/02,朴子,4.9,0.52,17.2,65.0,-,22,3.34,18.75,-,-,-,17.71,-,-
65,嘉義縣,1998/02,新港,4.4,0.66,24.2,69.0,-,27,5.36,21.93,-,-,-,17.37,-,-
66,屏東縣,1998/02,屏東,3.9,0.8,19.7,81.0,-,32,6.55,25.71,2.69,0.37,2.33,21.52,-,-
67,屏東縣,1998/02,潮州,3.8,0.69,21.4,85.0,-,33,7.57,25.17,-,-,-,21.57,-,-
68,屏東縣,1998/02,恆春,0.6,0.26,41.3,24.0,-,2,0.17,2.17,-,-,-,21.87,-,-
69,臺東縣,1998/02,臺東,0.6,0.5,25.7,26.0,-,15,3.83,11.32,2.46,0.23,2.23,20.21,-,-
70,花蓮縣,1998/02,花蓮,1.1,0.82,17.0,39.0,-,30,10.21,20.11,2.34,0.34,2.0,18.94,-,-
,,,,,,,,,,,,,,,,,
