序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
23,臺中市,1998/08,大里,2.6,0.55,20.2,45.0,-,21,4.28,17.04,-,-,-,29.61,-,-
24,臺南市,1998/08,新營,2.7,0.37,20.4,20.0,-,11,1.62,9.61,2.45,0.2,2.25,30.3,-,-
25,臺南市,1998/08,善化,3.8,0.32,19.7,23.0,-,10,2.1,7.95,-,-,-,28.95,-,-
26,臺南市,1998/08,安南,4.9,0.43,21.9,26.0,-,17,4.06,12.7,-,-,-,29.39,-,-
27,臺南市,1998/08,臺南,5.9,0.57,17.1,33.0,-,20,6.46,13.68,2.23,0.17,2.07,28.7,-,-
28,高雄市,1998/08,左營,6.6,0.58,18.6,39.0,-,24,8.56,15.52,2.21,0.26,1.95,30.22,-,-
29,高雄市,1998/08,楠梓,5.6,0.4,17.1,30.0,-,26,8.48,17.13,2.57,0.38,2.17,29.62,-,-
30,高雄市,1998/08,前金,5.6,0.71,16.9,30.0,-,25,8.39,16.51,-,-,-,29.66,-,-
31,高雄市,1998/08,前鎮,9.9,-,-,36.0,-,30,11.22,18.32,2.28,0.33,1.93,29.88,-,-
32,高雄市,1998/08,復興,6.6,0.93,-,36.0,-,31,13.32,17.76,2.44,0.52,1.92,29.52,-,-
33,高雄市,1998/08,小港,9.8,0.61,14.5,40.0,-,29,11.18,17.88,2.26,0.21,2.04,29.61,-,-
34,高雄市,1998/08,鳳山,6.9,0.77,15.1,34.0,21,25,7.04,18.38,-,-,-,29.84,-,-
35,高雄市,1998/08,林園,3.0,0.31,18.1,47.0,36,10,1.45,8.41,2.1,0.22,1.88,29.07,-,-
36,高雄市,1998/08,大寮,5.1,0.6,17.1,44.0,-,17,2.99,13.17,2.46,0.25,2.2,29.79,-,-
37,高雄市,1998/08,仁武,5.5,0.46,22.3,34.0,-,21,5.77,15.26,2.43,0.16,2.27,29.53,-,-
38,高雄市,1998/08,橋頭,4.0,0.44,16.2,28.0,-,18,5.35,13.09,2.31,0.11,2.21,28.53,-,-
39,高雄市,1998/08,美濃,1.0,0.39,21.9,29.0,-,8,1.22,7.15,-,-,-,28.88,-,-
40,基隆市,1998/08,基隆,5.9,0.72,28.3,42.0,-,31,9.7,21.16,2.44,0.27,2.17,29.71,-,-
41,新竹市,1998/08,新竹,4.5,0.6,18.1,25.0,-,25,9.1,15.46,2.33,0.24,2.09,30.56,-,-
42,嘉義市,1998/08,嘉義,2.3,0.67,17.7,33.0,-,20,3.54,16.27,2.36,0.22,2.14,29.42,-,-
43,宜蘭縣,1998/08,宜蘭,1.7,0.42,19.9,32.0,-,13,2.69,10.5,-,-,-,28.92,-,-
44,宜蘭縣,1998/08,冬山,2.2,0.6,15.9,26.0,-,20,7.79,11.97,2.21,0.16,2.05,29.44,-,-
45,桃園市,1998/08,桃園,13.3,0.71,16.1,47.0,-,37,12.51,24.43,2.62,0.37,2.25,29.68,-,-
46,桃園市,1998/08,中壢,7.4,1.53,-,33.0,-,72,40.81,30.91,-,-,-,29.69,-,-
47,桃園市,1998/08,大園,4.6,0.4,15.5,29.0,-,26,10.14,15.37,-,-,-,29.61,-,-
48,桃園市,1998/08,龍潭,3.0,0.43,16.6,35.0,-,26,8.02,18.09,-,-,-,28.21,-,-
49,桃園市,1998/08,平鎮,2.9,0.61,18.2,27.0,-,27,8.63,18.36,2.09,0.14,1.95,29.46,-,-
50,桃園市,1998/08,觀音,2.0,0.32,16.4,46.0,-,16,4.4,11.14,2.38,0.14,2.24,29.56,-,-
51,新竹縣,1998/08,竹東,2.2,0.43,18.6,37.0,-,18,4.48,13.64,-,-,-,29.29,-,-
52,新竹縣,1998/08,湖口,4.3,0.46,13.6,55.0,-,23,9.2,13.75,-,-,-,29.97,-,-
53,苗栗縣,1998/08,苗栗,4.0,0.46,14.5,45.0,-,21,5.44,15.24,-,-,-,29.54,-,-
54,苗栗縣,1998/08,頭份,12.2,-,-,40.0,-,23,9.79,13.31,2.25,0.14,2.11,29.4,-,-
55,苗栗縣,1998/08,三義,1.8,0.19,15.5,44.0,-,14,3.45,10.04,1.89,0.04,1.86,26.21,-,-
56,彰化縣,1998/08,彰化,2.5,0.52,15.4,31.0,-,18,3.78,14.04,2.17,0.21,1.96,29.93,-,-
57,彰化縣,1998/08,線西,2.5,-,-,27.0,-,13,3.79,9.47,1.88,0.1,1.78,29.87,-,-
58,彰化縣,1998/08,二林,0.5,0.28,19.6,37.0,-,14,5.09,8.8,-,-,-,29.19,-,-
59,南投縣,1998/08,南投,1.0,0.4,17.1,-,-,14,2.61,11.56,1.94,0.07,1.87,27.9,-,-
60,南投縣,1998/08,埔里,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,南投縣,1998/08,竹山,0.9,0.36,22.7,36.0,-,12,1.86,10.21,-,-,-,27.7,-,-
62,雲林縣,1998/08,斗六,3.8,0.52,18.4,32.0,-,15,3.1,11.48,-,-,-,29.19,-,-
63,雲林縣,1998/08,崙背,1.1,0.29,11.4,42.0,-,12,3.07,9.16,-,-,-,29.04,-,-
64,雲林縣,1998/08,臺西,0.6,0.22,28.9,36.0,-,8,1.72,5.99,-,-,-,29.08,-,-
65,嘉義縣,1998/08,朴子,0.7,0.38,12.5,28.0,-,10,2.36,8.08,-,-,-,30.35,-,-
66,嘉義縣,1998/08,新港,1.6,0.33,20.4,-,-,14,3.89,10.57,-,-,-,29.49,-,-
67,屏東縣,1998/08,屏東,2.3,0.64,16.7,34.0,-,17,2.9,14.36,2.3,0.25,2.05,29.75,-,-
68,屏東縣,1998/08,潮州,1.0,0.36,19.5,32.0,-,9,1.09,8.06,-,-,-,28.97,-,-
69,屏東縣,1998/08,恆春,0.4,0.18,19.0,16.0,-,1,0.14,0.98,-,-,-,28.75,-,-
70,臺東縣,1998/08,臺東,0.2,0.43,14.2,25.0,-,9,2.98,6.51,2.15,0.11,2.04,29.52,-,-
71,花蓮縣,1998/08,花蓮,0.6,0.49,-,27.0,-,16,5.41,10.37,1.96,0.14,1.81,30.08,-,-
,,,,,,,,,,,,,,,,,
