序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
36,高雄市,1998/06,大寮,4.2,0.54,12.4,32.0,-,14,4.36,9.8,2.46,0.25,2.21,28.7,-,-
37,高雄市,1998/06,仁武,5.0,0.54,14.5,26.0,-,22,8.09,14.32,2.39,0.18,2.22,28.29,-,-
38,高雄市,1998/06,橋頭,6.7,0.52,10.7,26.0,-,23,8.12,14.45,2.55,0.21,2.36,27.53,-,-
39,高雄市,1998/06,美濃,1.0,0.41,17.0,26.0,-,10,1.7,7.88,-,-,-,28.05,-,-
40,基隆市,1998/06,基隆,8.1,0.92,23.9,48.0,-,41,13.13,27.78,-,-,-,27.68,-,-
41,新竹市,1998/06,新竹,3.3,0.62,18.4,26.0,-,26,9.04,16.74,2.38,0.24,2.14,28.9,-,-
42,嘉義市,1998/06,嘉義,2.7,0.79,15.7,33.0,-,22,5.02,17.23,2.49,0.31,2.18,28.18,-,-
43,宜蘭縣,1998/06,宜蘭,1.7,0.56,22.8,36.0,-,16,3.07,13.08,-,-,-,26.77,-,-
44,宜蘭縣,1998/06,冬山,2.0,0.79,16.6,36.0,-,24,8.52,15.07,2.37,0.14,2.23,27.22,-,-
45,桃園市,1998/06,桃園,12.4,0.85,16.0,51.0,-,40,13.23,27.21,2.72,0.46,2.26,27.67,-,-
46,桃園市,1998/06,中壢,6.3,1.68,-,40.0,-,78,46.15,31.91,-,-,-,27.72,-,-
47,桃園市,1998/06,大園,5.6,0.48,17.5,35.0,-,29,11.58,17.87,-,-,-,27.5,-,-
48,桃園市,1998/06,龍潭,2.6,0.47,17.8,34.0,-,26,6.98,18.56,-,-,-,26.38,-,-
49,桃園市,1998/06,平鎮,4.1,0.75,16.5,31.0,-,34,10.1,23.86,2.14,0.2,1.94,27.56,-,-
50,桃園市,1998/06,觀音,6.7,0.36,19.9,31.0,-,18,4.89,12.78,2.84,0.16,2.68,27.56,-,-
51,新竹縣,1998/06,竹東,1.4,0.46,15.9,33.0,-,19,4.9,13.79,-,-,-,27.78,-,-
52,新竹縣,1998/06,湖口,4.7,0.5,21.8,45.0,-,22,6.85,15.21,-,-,-,28.0,-,-
53,苗栗縣,1998/06,苗栗,2.3,0.51,15.9,57.0,-,20,4.41,15.66,-,-,-,28.01,-,-
54,苗栗縣,1998/06,頭份,19.4,-,-,35.0,-,32,14.16,17.57,2.44,0.28,2.16,28.26,-,-
55,苗栗縣,1998/06,三義,1.2,0.22,13.1,38.0,-,13,3.03,9.94,1.99,0.05,1.95,24.88,-,-
56,彰化縣,1998/06,彰化,2.4,0.69,11.8,30.0,-,20,4.95,15.07,2.4,0.55,1.85,28.07,-,-
57,彰化縣,1998/06,線西,2.4,-,-,28.0,-,17,5.2,11.34,1.95,0.2,1.92,27.82,-,-
58,彰化縣,1998/06,二林,1.4,0.33,16.8,34.0,-,14,4.06,10.13,-,-,-,27.41,-,-
59,南投縣,1998/06,南投,1.1,0.52,13.3,23.0,-,17,4.39,12.73,1.89,0.14,1.83,27.42,-,-
60,南投縣,1998/06,竹山,0.6,0.43,18.1,32.0,-,14,2.82,11.53,-,-,-,26.69,-,-
61,雲林縣,1998/06,斗六,2.9,0.61,12.0,33.0,-,18,4.68,12.91,-,-,-,27.63,-,-
62,雲林縣,1998/06,崙背,-,0.31,9.2,36.0,-,11,3.37,7.84,1.61,0.08,1.53,27.17,-,-
63,雲林縣,1998/06,臺西,0.8,0.24,24.1,37.0,-,8,1.83,6.6,-,-,-,27.56,-,-
64,嘉義縣,1998/06,朴子,1.6,0.46,10.7,33.0,-,11,2.38,8.66,-,-,-,28.29,-,-
65,嘉義縣,1998/06,新港,1.8,0.41,18.5,-,-,15,4.1,11.09,-,-,-,27.58,-,-
66,屏東縣,1998/06,屏東,2.4,0.7,10.3,27.0,-,19,5.68,13.59,2.42,0.33,2.09,28.77,-,-
67,屏東縣,1998/06,潮州,0.6,0.35,12.0,20.0,-,9,1.75,7.35,-,-,-,28.21,-,-
68,屏東縣,1998/06,恆春,0.1,0.16,20.1,16.0,-,1,0.07,0.71,-,-,-,27.53,-,-
69,臺東縣,1998/06,臺東,0.6,0.55,19.9,32.0,-,13,3.47,9.2,2.26,0.17,2.09,27.2,-,-
70,花蓮縣,1998/06,花蓮,0.7,0.64,17.2,36.0,-,18,5.66,12.78,2.05,0.2,1.85,27.95,-,-
,,,,,,,,,,,,,,,,,
