序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
16,新北市,2013/10,土城,2.1,0.41,-,33.8,47,16,3.51,12.81,2.09,0.179,1.91,24.83,71.62
17,新北市,2013/10,林口,2.5,0.24,-,42.2,46,11,1.66,8.93,-,-,-,22.45,77.51
18,新北市,2013/10,萬里,2.1,0.17,-,48.9,84,6,1.46,4.42,-,-,-,23.81,74.77
19,臺中市,2013/10,西屯,2.6,0.31,-,39.8,55,16,3.03,13.35,1.96,0.157,1.807,25.07,68.74
20,臺中市,2013/10,忠明,2.9,0.44,-,40.5,54,21,3.64,17.54,1.99,0.151,1.842,25.39,63.78
21,臺中市,2013/10,豐原,2.4,0.3,-,42.6,52,9,1.6,7.81,1.9,0.107,1.796,23.78,67.41
22,臺中市,2013/10,沙鹿,2.7,0.3,-,42.5,55,14,1.66,12.24,-,-,-,24.44,69.82
23,臺中市,2013/10,大里,2.9,0.46,421.6,39.0,58,21,3.6,17.39,2.01,0.192,1.818,25.56,64.57
24,臺南市,2013/10,新營,3.3,0.36,-,40.9,108,15,1.62,13.16,2.06,0.095,1.962,25.13,75.87
25,臺南市,2013/10,善化,4.2,0.33,434.51,40.3,88,15,1.32,13.93,-,-,-,26.46,73.9
26,臺南市,2013/10,安南,3.9,0.36,-,44.6,106,17,2.39,14.19,2.07,0.15,1.919,25.7,71.06
27,臺南市,2013/10,臺南,4.3,0.45,-,45.5,97,17,1.6,15.46,2.03,0.197,1.829,26.01,71.51
28,高雄市,2013/10,左營,5.0,0.48,-,47.7,89,19,2.44,16.8,2.2,0.198,2.003,26.02,68.46
29,高雄市,2013/10,楠梓,4.5,0.43,-,44.0,98,21,3.0,17.51,2.04,0.162,1.88,25.98,71.31
30,高雄市,2013/10,前金,4.9,0.49,-,44.5,93,20,2.08,17.53,2.12,0.179,1.938,26.41,69.01
31,高雄市,2013/10,前鎮,7.1,0.53,-,42.6,99,27,3.43,24.04,2.12,0.24,1.879,26.3,66.6
32,高雄市,2013/10,復興,6.6,0.73,-,37.7,97,30,4.18,25.6,2.39,0.362,2.031,26.65,68.67
33,高雄市,2013/10,小港,7.8,0.48,-,41.4,92,28,3.59,23.96,2.11,0.206,1.904,27.39,67.61
34,高雄市,2013/10,鳳山,6.5,0.58,-,40.9,104,23,2.27,21.06,2.31,0.291,2.023,27.22,67.36
35,高雄市,2013/10,林園,5.8,0.34,-,45.3,49,15,1.65,13.16,2.13,0.127,2.001,26.14,71.94
36,高雄市,2013/10,大寮,5.5,0.42,-,41.7,88,18,1.99,16.48,2.15,0.198,1.948,26.14,70.4
37,高雄市,2013/10,仁武,6.5,0.45,-,40.3,85,25,3.37,21.89,2.22,0.233,1.989,26.04,71.6
38,高雄市,2013/10,橋頭,4.6,0.42,-,42.6,96,18,2.08,16.37,-,-,-,25.98,71.62
39,高雄市,2013/10,美濃,2.4,0.34,-,44.2,72,10,1.63,8.43,-,-,-,26.27,71.74
40,基隆市,2013/10,基隆,1.7,0.26,-,42.0,37,9,1.86,6.96,1.9,0.067,1.838,24.45,76.19
41,新竹市,2013/10,新竹,3.0,0.3,-,42.3,48,14,1.68,12.27,1.9,0.123,1.772,24.45,71.69
42,嘉義市,2013/10,嘉義,4.0,0.46,-,38.5,88,19,2.11,16.62,1.99,0.165,1.826,24.73,72.06
43,宜蘭縣,2013/10,宜蘭,2.4,0.27,407.32,38.2,41,6,0.81,5.54,-,-,-,23.88,77.66
44,宜蘭縣,2013/10,冬山,1.8,0.24,-,34.9,39,12,3.2,9.13,-,-,-,23.44,79.38
45,桃園市,2013/10,桃園,3.4,0.38,-,38.5,46,15,2.31,13.14,2.01,0.121,1.888,24.05,74.8
46,桃園市,2013/10,中壢,4.5,0.8,-,28.7,61,37,12.8,23.97,2.34,0.345,1.995,23.67,70.67
47,桃園市,2013/10,大園,2.5,0.23,-,43.0,52,16,2.95,12.86,-,-,-,24.44,76.96
48,桃園市,2013/10,龍潭,2.7,0.33,-,39.6,51,14,2.38,11.6,-,-,-,22.72,75.78
49,桃園市,2013/10,平鎮,3.8,0.35,-,37.9,57,16,1.67,14.16,-,-,-,23.69,74.19
50,桃園市,2013/10,觀音,6.2,0.22,-,39.7,63,10,0.92,8.76,-,-,-,24.57,70.58
51,新竹縣,2013/10,竹東,3.1,0.27,-,32.6,42,11,1.96,8.75,-,-,-,23.93,71.39
52,新竹縣,2013/10,湖口,3.4,0.25,-,43.9,44,10,1.51,8.09,-,-,-,24.23,68.8
53,苗栗縣,2013/10,苗栗,3.1,0.35,-,37.6,50,16,2.63,13.07,-,-,-,24.57,70.27
54,苗栗縣,2013/10,頭份,2.9,0.29,-,42.4,47,15,1.78,12.88,1.94,0.087,1.85,24.67,69.09
55,苗栗縣,2013/10,三義,1.9,0.23,-,43.0,46,8,1.21,6.93,-,-,-,21.83,76.91
56,彰化縣,2013/10,彰化,4.0,0.43,-,36.1,62,18,1.94,16.23,1.91,0.185,1.722,25.28,65.44
57,彰化縣,2013/10,線西,4.6,0.34,-,40.3,62,14,2.3,11.65,1.92,0.091,1.827,24.64,73.99
58,彰化縣,2013/10,二林,3.9,0.28,-,41.7,71,12,1.6,10.52,-,-,-,25.34,73.11
59,南投縣,2013/10,南投,2.5,0.46,-,34.2,67,19,2.19,16.61,2.02,0.179,1.843,25.09,70.36
60,南投縣,2013/10,埔里,2.1,0.4,-,40.3,54,13,1.42,11.66,-,-,-,24.46,71.31
61,南投縣,2013/10,竹山,2.6,0.36,-,39.5,72,14,1.45,12.54,-,-,-,24.31,69.46
62,雲林縣,2013/10,斗六,4.0,0.39,-,39.9,73,15,1.84,13.43,-,-,-,25.83,69.63
63,雲林縣,2013/10,崙背,3.3,0.32,-,40.2,100,13,1.62,11.05,-,-,-,25.27,75.95
64,雲林縣,2013/10,麥寮,3.4,0.3,-,41.6,92,14,2.42,11.22,1.91,0.08,1.83,24.61,75.6
65,雲林縣,2013/10,臺西,3.4,0.25,-,45.6,82,10,1.21,8.86,1.98,0.068,1.91,25.26,78.08
66,嘉義縣,2013/10,朴子,3.2,0.28,-,42.1,120,11,1.36,9.92,-,-,-,25.59,69.96
67,嘉義縣,2013/10,新港,3.2,0.33,-,42.3,88,13,1.85,10.73,-,-,-,25.08,71.82
68,屏東縣,2013/10,屏東,3.9,0.5,-,46.8,85,16,1.41,14.26,2.11,0.17,1.937,26.52,68.19
69,屏東縣,2013/10,潮州,2.7,0.3,-,44.8,81,9,1.11,7.43,-,-,-,25.6,72.54
70,屏東縣,2013/10,恆春,1.4,0.13,405.46,47.5,43,2,0.47,1.61,-,-,-,25.37,74.6
71,臺東縣,2013/10,臺東,1.3,0.3,-,37.9,54,6,1.84,4.3,-,-,-,25.66,72.09
72,臺東縣,2013/10,關山,1.3,-,-,32.8,40,4,1.05,3.26,-,-,-,23.16,77.59
73,花蓮縣,2013/10,花蓮,1.5,0.35,-,31.2,37,11,1.72,9.17,-,-,-,25.28,73.31
74,澎湖縣,2013/10,馬公,1.7,0.21,-,53.1,53,4,0.86,3.04,-,-,-,24.98,69.44
75,金門縣,2013/10,金門,5.7,0.31,-,56.7,86,10,0.94,9.43,-,-,-,24.68,57.38
76,連江縣,2013/10,馬祖,3.4,0.23,-,59.8,61,5,1.21,3.95,-,-,-,23.34,68.35
,,,,,,,,,,,,,,,,
