序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
51,桃園市,2018/08,觀音,3.4,0.23,-,27.4,37,17,10.53,1.05,9.54,-,-,-,2.68,2.42,28.55,3.45,4.51,82.86,29.33
52,新竹縣,2018/08,竹東,1.8,0.24,-,22.3,28,10,8.29,1.83,6.46,-,-,-,1.58,1.23,28.05,-,-,80.91,-
53,新竹縣,2018/08,湖口,2.9,0.23,-,28.2,31,13,14.97,3.6,11.37,-,-,-,2.58,2.32,28.81,-,-,78.25,-
54,苗栗縣,2018/08,苗栗,2.2,0.29,-,24.6,48,17,10.93,1.85,9.07,-,-,-,1.9,1.52,29.99,-,-,77.08,-
55,苗栗縣,2018/08,頭份,2.8,0.25,-,27.1,28,11,11.57,1.62,9.95,2.034,0.072,1.962,2.2,1.82,28.99,-,-,76.13,-
56,苗栗縣,2018/08,三義,2.5,0.2,-,30.7,24,13,6.86,1.27,5.59,-,-,-,2.28,2.07,26.02,4.16,5.46,82.85,20.54
57,彰化縣,2018/08,彰化,3.2,0.28,-,28.2,30,11,8.92,1.34,7.58,2.014,0.116,1.898,1.18,0.77,28.49,-,-,76.49,-
58,彰化縣,2018/08,線西,2.2,0.22,-,29.5,18,10,7.97,1.65,6.32,2.087,0.119,1.968,2.77,2.53,28.66,-,-,83.84,-
59,彰化縣,2018/08,二林,3.5,0.18,-,25.8,24,15,5.98,1.16,4.82,-,-,-,2.31,2.11,28.55,-,-,82.26,-
60,南投縣,2018/08,南投,1.9,0.28,-,21.3,26,11,9.98,1.62,8.35,1.893,0.078,1.815,1.67,1.34,28.07,4.38,6.52,76.45,10.85
61,南投縣,2018/08,埔里,1.8,0.24,-,27.2,22,15,9.25,1.61,7.64,-,-,-,1.39,1.05,26.18,-,-,88.42,-
62,南投縣,2018/08,竹山,2.1,0.2,-,24.7,28,10,6.8,2.01,4.79,-,-,-,1.4,0.96,27.38,-,-,84.68,-
63,雲林縣,2018/08,斗六,2.4,0.25,-,28.1,25,11,8.87,2.06,6.81,-,-,-,1.59,1.25,29.31,-,-,76.81,-
64,雲林縣,2018/08,崙背,1.6,0.17,-,27.3,23,13,6.92,1.6,5.31,-,-,-,1.25,0.87,28.36,-,-,78.91,-
65,雲林縣,2018/08,麥寮,2.2,0.24,-,26.1,45,15,9.3,2.4,6.91,2.063,0.073,1.991,2.52,2.28,27.65,-,-,81.75,-
66,雲林縣,2018/08,臺西,2.5,0.16,-,28.9,19,13,7.13,1.81,5.33,1.968,0.016,1.959,3.47,3.25,28.3,-,-,84.89,-
67,嘉義縣,2018/08,朴子,2.3,0.23,-,26.3,42,10,9.16,2.18,6.99,-,-,-,2.27,2,29.15,-,-,83.9,-
68,嘉義縣,2018/08,新港,2.1,0.21,-,25.6,27,14,8.85,1.72,7.13,-,-,-,2.14,1.85,28.5,-,-,73.6,-
69,屏東縣,2018/08,屏東,1.6,0.33,-,23.9,20,9,10.42,1.68,8.73,2.021,0.081,1.939,1.79,1.47,27.82,-,-,84.67,-
70,屏東縣,2018/08,潮州,1.8,0.16,-,25.1,28,10,5.46,0.99,4.47,-,-,-,1.89,1.58,27.09,-,-,88.17,-
71,屏東縣,2018/08,恆春,1.7,0.08,400.83,29.8,14,7,2.32,0.72,1.56,-,-,-,3.77,3.45,27.66,4.33,5.42,89.3,13.58
72,臺東縣,2018/08,臺東,1.3,0.28,-,18.4,24,7,7.36,2.56,4.8,-,-,-,1.6,1.25,28.71,4.8,5.55,79.14,11.24
73,臺東縣,2018/08,關山,1.5,-,-,16.1,22,9,4.06,1.67,2.39,-,-,-,1.02,0.79,27.77,-,-,79.78,-
74,花蓮縣,2018/08,花蓮,1.6,0.19,-,24.2,25,5,5.21,1.16,4.04,-,-,-,2.21,1.95,28.46,3.82,5.23,75.9,12.43
75,澎湖縣,2018/08,馬公,2.2,0.18,-,32,18,8,6.43,1.8,4.62,-,-,-,2.36,2.07,28.45,3.62,5.2,89.13,19.18
76,金門縣,2018/08,金門,3.4,0.19,-,36.4,35,17,9.63,1.21,8.41,-,-,-,2.69,2.45,29.78,2.33,5.71,78.89,21.5
77,連江縣,2018/08,馬祖,2.8,0.15,-,37.8,33,12,4.62,0.68,3.91,-,-,-,2.92,2.65,28.35,1.43,5.45,85.75,30.67
,,,,,,,,,,,,,,,,,,,,,,
