序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/03,大里,2.5,0.54,443.62,32,63,22,23.05,3.8,19.26,2.119,0.225,1.894,1.81,1.41,21.49,-,-,69.53,-
25,臺南市,2018/03,新營,2.7,0.4,-,33.1,81,34,16.54,1.76,14.76,2.297,0.119,2.178,2.12,1.82,21.92,4.79,5.95,72.83,23.08
26,臺南市,2018/03,善化,2.9,0.35,434.17,31.2,64,31,14.2,1.89,12.3,-,-,-,2.56,2.35,22.73,-,-,73.44,-
27,臺南市,2018/03,安南,2.8,0.4,-,35.5,68,35,18.31,2.96,15.34,2.195,0.155,2.04,2.48,2.11,22.7,-,-,68.23,-
28,臺南市,2018/03,臺南,2.9,0.47,-,39.1,60,33,19.05,2.64,16.41,2.136,0.166,1.97,2.09,1.78,22.48,-,-,70.7,-
29,高雄市,2018/03,左營,3.3,0.46,-,41.3,75,31,19.6,2.16,17.43,2.142,0.149,1.993,2.34,2.07,22.81,-,-,70.07,-
30,高雄市,2018/03,楠梓,3,0.43,-,39,83,34,21.41,4.87,16.54,2.16,0.169,1.991,2.07,1.75,22.59,-,-,67.73,-
31,高雄市,2018/03,前金,3,0.46,-,41,68,33,18.23,2.73,15.5,2.07,0.147,1.923,2.28,1.96,22.94,-,-,68.79,-
32,高雄市,2018/03,前鎮,4.4,0.53,-,33.3,70,35,24.39,3.49,20.91,2.219,0.176,2.043,1.65,1.27,23.64,-,-,66.96,-
33,高雄市,2018/03,復興,4.2,0.64,-,34.7,73,36,26.96,4.59,22.37,2.214,0.235,1.98,1.11,0.71,23.48,-,-,65.56,-
34,高雄市,2018/03,小港,6.3,0.45,-,36,65,32,27.29,3.54,23.75,2.074,0.164,1.91,2.01,1.63,23.84,4.26,5.4,65.19,20.89
35,高雄市,2018/03,鳳山,3.9,0.54,-,31.6,59,33,21.45,2.67,18.78,2.227,0.192,2.035,1.74,1.34,24.21,3.16,5.72,61.94,17.47
36,高雄市,2018/03,林園,4.7,0.39,-,42.2,64,25,16.98,1.91,15.07,2.249,0.117,2.131,2.44,2.19,23.44,-,-,70.23,-
37,高雄市,2018/03,大寮,5.4,0.44,-,35.6,66,35,21.99,2.66,19.33,2.411,0.179,2.232,1.8,1.51,24.17,-,-,68.75,-
38,高雄市,2018/03,仁武,3.7,0.42,-,39.5,72,35,21.1,2.87,18.23,2.175,0.172,2.003,1.89,1.65,22.9,-,-,68.07,-
39,高雄市,2018/03,橋頭,3.4,0.42,-,33.5,64,33,18.33,2.35,15.98,-,-,-,2.47,2.19,23.03,1.72,5.82,71.17,23.47
40,高雄市,2018/03,美濃,1.8,0.32,-,40,57,24,9.19,1.4,7.78,-,-,-,1.24,0.93,23.01,-,-,69.31,-
41,基隆市,2018/03,基隆,2.4,0.37,-,34.4,29,16,15.83,3.3,12.52,2.046,0.103,1.944,1.37,0.92,19.33,-,-,74.55,-
42,新竹市,2018/03,新竹,1.7,0.45,-,30.6,48,27,20.1,3.03,17.08,2.027,0.138,1.888,1.96,1.49,19.85,-,-,71.81,-
43,嘉義市,2018/03,嘉義,3.3,0.46,-,34.8,68,32,17.78,1.84,15.93,1.982,0.146,1.836,2,1.7,21.46,-,-,69.15,-
44,宜蘭縣,2018/03,宜蘭,1.6,0.31,424.72,38.9,39,15,6.82,0.85,5.95,-,-,-,1.67,1.26,20.61,-,-,70.6,-
45,宜蘭縣,2018/03,冬山,1.9,0.29,-,33.3,39,14,11.09,2.57,8.52,-,-,-,1.9,1.57,19.92,1.49,4.92,75.09,60.56
46,桃園市,2018/03,桃園,4.3,0.51,-,28.4,46,23,24.63,4.63,20,2.178,0.165,2.014,1.5,1.16,19.76,-,-,74.72,-
47,桃園市,2018/03,中壢,3.1,0.91,-,22,60,21,51.35,21.37,29.98,2.257,0.334,1.922,1.23,0.67,19.89,-,-,71.52,-
48,桃園市,2018/03,大園,3.2,0.34,-,30.5,53,22,21.93,3.68,18.26,-,-,-,4.34,3.97,19.88,-,-,71.74,-
49,桃園市,2018/03,龍潭,2.4,0.42,-,35.8,43,24,19.12,3.06,16.06,-,-,-,2.63,2.31,18.95,-,-,74.27,-
50,桃園市,2018/03,平鎮,2.5,0.48,-,31.2,54,22,23.69,3.91,19.78,-,-,-,2.19,1.86,19.74,-,-,73.6,-
51,桃園市,2018/03,觀音,4.3,0.31,-,35.3,61,27,15.25,1.74,13.5,-,-,-,3.6,3.37,19.34,1.06,4.7,76.59,52.47
52,新竹縣,2018/03,竹東,2,0.36,-,31.4,48,23,13.31,2.19,11.12,-,-,-,1.92,1.52,19.57,-,-,71.5,-
53,新竹縣,2018/03,湖口,3.1,0.34,-,38.4,55,25,17.02,3.01,14.01,-,-,-,3.13,2.87,19.35,-,-,73.77,-
54,苗栗縣,2018/03,苗栗,2.5,0.41,-,31.2,56,29,17.81,3.13,14.67,-,-,-,1.99,1.62,20.23,-,-,73.09,-
55,苗栗縣,2018/03,頭份,2.2,0.36,-,33.7,51,23,16.36,2.32,14.04,2.017,0.101,1.915,2.1,1.76,19.37,-,-,73.12,-
56,苗栗縣,2018/03,三義,2,0.3,-,42.7,40,27,10.1,1.14,8.96,-,-,-,3.02,2.8,17.68,3.74,5.37,78.95,89.98
57,彰化縣,2018/03,彰化,3.2,0.5,-,31.2,59,31,18.02,1.53,16.49,2.114,0.188,1.927,4.45,5.16,21.44,-,-,74.2,-
58,彰化縣,2018/03,線西,3.4,0.4,-,36.2,62,31,17.33,2.39,14.93,2.07,0.113,1.957,1.06,0.52,21.18,-,-,77.57,-
59,彰化縣,2018/03,二林,3.6,0.38,-,33.3,69,33,13.56,2.28,11.27,-,-,-,2.83,2.56,20.76,-,-,77.84,-
60,南投縣,2018/03,南投,1.9,0.44,-,26,61,29,19.11,2.41,16.69,1.901,0.239,1.662,1.59,1.24,22.03,5.14,6.15,69.39,30.03
61,南投縣,2018/03,埔里,2,0.38,-,37.2,44,27,13.73,1.62,12.09,-,-,-,1.51,1.19,19.98,-,-,77.84,-
62,南投縣,2018/03,竹山,2.3,0.35,-,36.1,60,38,14.93,1.93,13,-,-,-,1.48,1.11,20.39,-,-,73.22,-
63,雲林縣,2018/03,斗六,2.6,0.38,-,37.2,62,34,16.64,2.27,14.37,-,-,-,1.73,1.46,22,-,-,69.84,-
64,雲林縣,2018/03,崙背,2.9,0.36,-,38.9,65,37,15.4,2.17,13.23,-,-,-,2.61,1.87,21.02,2.02,6.12,73.96,199.39
65,雲林縣,2018/03,麥寮,2.8,0.37,-,36,86,36,12.97,2.25,10.72,2.293,0.082,2.211,3.15,2.83,20.38,-,-,76.75,-
66,雲林縣,2018/03,臺西,3.4,0.32,-,44.1,68,35,12.64,1.81,10.82,2.16,0.048,2.113,4.81,4.59,20.53,-,-,78.46,-
67,嘉義縣,2018/03,朴子,2.9,0.35,-,40.4,81,33,11.51,1.55,9.95,-,-,-,2.1,1.77,21.65,-,-,74.63,-
68,嘉義縣,2018/03,新港,2.9,0.38,-,36.9,78,35,14.88,2.65,12.23,-,-,-,2.29,2.02,20.87,-,-,69.92,-
69,屏東縣,2018/03,屏東,2.9,0.45,-,41,58,32,16.21,1.33,14.87,2.194,0.125,2.069,1.83,1.46,23.65,-,-,65.52,-
70,屏東縣,2018/03,潮州,2.8,0.32,-,41,67,28,11.97,1.28,10.68,-,-,-,1.73,1.43,23.16,-,-,66.42,-
71,屏東縣,2018/03,恆春,1.8,0.15,413,43.6,34,11,2.42,0.65,1.74,-,-,-,5.54,5.27,22.91,2.17,4.95,75.64,33.44
72,臺東縣,2018/03,臺東,1.3,0.31,-,31,30,12,7.6,1.95,5.64,-,-,-,2.19,1.8,22.38,1.02,5.01,72.97,44.92
73,臺東縣,2018/03,關山,2,-,-,27.7,26,12,4.6,1.15,3.45,-,-,-,1.43,1.2,20.77,-,-,77.97,-
74,花蓮縣,2018/03,花蓮,1.6,0.29,-,33.8,33,10,7.54,1.18,6.36,-,-,-,2.25,1.94,21.27,1.69,4.58,73.97,129.07
75,澎湖縣,2018/03,馬公,1.4,0.26,-,48.2,38,19,5.31,1.25,4.05,-,-,-,3.7,2.81,20.66,4.03,5.49,79.99,47.94
76,金門縣,2018/03,金門,3.5,0.34,-,38,62,32,15.14,1.78,13.34,-,-,-,2.59,2.21,18.32,1.2,5.22,72.54,55.6
77,連江縣,2018/03,馬祖,2.4,0.3,-,45.6,46,25,6.78,0.72,6.04,-,-,-,2.33,1.94,14.39,2.29,5.15,82.69,66.13
,,,,,,,,,,,,,,,,,,,,,,
