序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
68,屏東縣,2017/06,屏東,2.1,0.28,-,18,26,8,11.04,2.29,8.75,1.929,0.086,1.843,1.92,1.43,29.42,-,-,71.7,-
69,屏東縣,2017/06,潮州,1.9,0.14,-,17.9,31,10,6.67,1.51,5.15,-,-,-,2.04,1.69,28.93,-,-,79.4,-
70,屏東縣,2017/06,恆春,1.8,0.05,402.14,21.5,22,9,2.97,1.72,1.24,-,-,-,3.94,3.76,29.23,2.09,5.01,87.78,7.36
71,臺東縣,2017/06,臺東,1.3,0.27,-,16.6,25,7,7.57,2.81,4.77,-,-,-,1.8,1.37,29.11,2.73,4.71,73.9,4.38
72,臺東縣,2017/06,關山,1.7,-,-,15.4,29,9,5.66,2.02,3.64,-,-,-,1.32,0.94,27.92,-,-,77.1,-
73,花蓮縣,2017/06,花蓮,1.9,0.21,-,21,23,9,8.05,1.97,6.08,-,-,-,2.14,1.83,27.98,1.7,5.49,78.2,12.53
74,澎湖縣,2017/06,馬公,2.4,0.16,-,20.6,16,7,7.53,2.56,4.97,-,-,-,2.2,1.97,28.55,3.11,4.91,86.17,21.05
75,金門縣,2017/06,金門,2.6,0.15,-,27.8,25,16,8.12,1.53,6.58,-,-,-,3.28,3.16,26.99,2.41,4.73,82.88,23.71
76,連江縣,2017/06,馬祖,2.4,0.16,-,41.8,28,8,5.16,0.75,4.38,-,-,-,3.85,3.51,24.36,2.76,4.89,92.56,22.59
,,,,,,,,,,,,,,,,,,,,,,
