序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
54,苗栗縣,2013/06,頭份,3.4,0.3,-,23.5,34,15,3.0,11.91,1.93,0.093,1.84,29.32,74.34
55,苗栗縣,2013/06,三義,2.1,0.23,-,26.4,37,10,2.0,7.99,-,-,-,27.11,77.34
56,彰化縣,2013/06,彰化,4.2,0.36,-,23.6,45,14,1.78,12.03,1.77,0.161,1.605,29.32,73.65
57,彰化縣,2013/06,線西,3.1,0.28,-,25.1,42,12,2.07,9.64,2.12,0.312,1.811,28.36,83.86
58,彰化縣,2013/06,二林,2.5,0.22,-,22.8,56,10,2.07,8.14,-,-,-,29.66,79.82
59,南投縣,2013/06,南投,2.0,0.31,-,23.8,41,12,1.95,9.57,1.88,0.098,1.782,29.01,72.82
60,南投縣,2013/06,埔里,1.6,0.28,-,25.6,29,9,1.79,7.29,-,-,-,26.78,77.62
61,南投縣,2013/06,竹山,2.3,0.22,-,24.6,30,9,1.56,7.3,-,-,-,28.01,72.66
62,雲林縣,2013/06,斗六,3.0,0.32,-,25.0,46,11,2.03,9.16,-,-,-,29.47,72.38
63,雲林縣,2013/06,崙背,2.5,0.23,-,21.3,44,10,1.87,7.65,-,-,-,29.29,82.48
64,雲林縣,2013/06,麥寮,2.6,0.23,-,25.3,42,10,2.64,7.74,2.08,0.08,2.003,28.34,81.91
65,雲林縣,2013/06,臺西,2.4,0.19,-,28.4,38,8,2.03,6.12,1.97,0.057,1.907,29.28,83.69
66,嘉義縣,2013/06,朴子,2.1,0.28,-,22.8,54,10,2.14,7.51,-,-,-,29.37,74.87
67,嘉義縣,2013/06,新港,2.6,0.26,-,23.7,54,11,2.3,8.39,-,-,-,29.61,75.42
68,屏東縣,2013/06,屏東,2.8,0.39,-,26.3,42,12,2.1,10.19,2.0,0.123,1.877,29.9,70.37
69,屏東縣,2013/06,潮州,2.4,0.21,-,22.1,40,7,1.51,5.68,-,-,-,28.94,79.41
70,屏東縣,2013/06,恆春,1.0,0.09,395.54,23.1,26,2,1.04,0.82,-,-,-,28.33,73.1
71,臺東縣,2013/06,臺東,0.9,0.3,-,21.5,26,7,2.37,4.88,-,-,-,28.97,78.36
72,臺東縣,2013/06,關山,1.3,-,-,19.2,26,5,1.62,3.08,-,-,-,27.32,78.52
73,花蓮縣,2013/06,花蓮,1.3,0.31,-,20.4,25,10,2.48,7.2,-,-,-,28.78,81.29
74,澎湖縣,2013/06,馬公,2.3,0.25,-,29.6,34,7,2.18,4.86,-,-,-,28.11,80.87
75,金門縣,2013/06,金門,3.5,0.24,-,33.0,38,9,1.67,7.27,-,-,-,26.91,82.51
76,連江縣,2013/06,馬祖,3.2,0.22,-,41.7,39,6,1.42,4.81,-,-,-,25.5,93.13
,,,,,,,,,,,,,,,,
