序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
66,嘉義縣,2013/04,朴子,3.0,0.44,-,36.0,76,14,1.9,11.85,-,-,-,23.21,78.48
67,嘉義縣,2013/04,新港,3.1,0.48,-,34.7,72,15,2.34,12.91,-,-,-,22.9,79.48
68,屏東縣,2013/04,屏東,3.5,0.57,-,35.1,66,18,1.69,16.12,2.15,0.167,1.982,25.28,73.54
69,屏東縣,2013/04,潮州,3.1,0.43,-,31.6,67,13,1.65,11.19,-,-,-,24.71,80.87
70,屏東縣,2013/04,恆春,1.2,0.24,396.74,53.1,32,3,0.91,1.78,-,-,-,24.11,77.68
71,臺東縣,2013/04,臺東,1.1,0.43,-,39.3,32,8,1.7,6.48,-,-,-,23.28,78.26
72,臺東縣,2013/04,關山,1.2,-,-,34.3,30,6,1.35,4.62,-,-,-,21.32,83.31
73,花蓮縣,2013/04,花蓮,1.2,0.51,-,33.9,35,14,2.24,11.92,-,-,-,22.2,83.39
74,澎湖縣,2013/04,馬公,3.0,0.35,-,54.1,55,6,1.18,5.06,-,-,-,22.53,79.56
75,金門縣,2013/04,金門,6.9,0.49,-,43.5,95,18,2.53,15.5,-,-,-,19.04,83.64
76,連江縣,2013/04,馬祖,4.0,0.43,-,62.4,79,10,1.55,7.97,-,-,-,16.76,80.95
,,,,,,,,,,,,,,,,
