序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/05,大里,2.8,0.37,427.26,27.1,47,15,15.74,2.45,13.3,1.924,0.144,1.78,2.12,1.83,28.57,-,-,70.04,-
25,臺南市,2018/05,新營,2.7,0.26,-,23.2,47,18,10.33,1.24,9.07,2.054,0.073,1.981,1.84,1.48,29.17,5.46,5.51,71.83,18.99
26,臺南市,2018/05,善化,2.6,0.22,427.61,21.3,39,17,10.12,1.8,8.32,-,-,-,2.34,2.16,28.89,-,-,75.92,-
27,臺南市,2018/05,安南,2,0.25,-,27,45,15,10.7,2.29,8.4,2.022,0.122,1.9,2.54,2.21,29.6,-,-,70.76,-
28,臺南市,2018/05,臺南,2.8,0.25,-,28.2,36,15,9.99,2.03,7.95,1.883,0.082,1.801,2.19,1.87,28.98,-,-,73.7,-
29,高雄市,2018/05,左營,3,0.23,-,27.4,42,13,9.91,1.49,8.41,1.87,0.062,1.808,2.24,1.9,29.02,-,-,74.82,-
30,高雄市,2018/05,楠梓,3,0.28,-,26.7,50,12,14.31,4.05,10.26,1.979,0.138,1.841,1.99,1.58,29.1,-,-,71.24,-
31,高雄市,2018/05,前金,3.5,0.22,-,27.7,40,13,10.1,2.04,8.07,1.836,0.052,1.784,2.3,1.96,29.06,-,-,75.59,-
32,高雄市,2018/05,前鎮,5.7,0.23,-,24.1,35,8,15.08,2.6,12.49,1.967,0.084,1.883,1.66,1.26,29.34,-,-,72.57,-
33,高雄市,2018/05,復興,5.4,0.31,-,24.3,30,13,15.08,3.02,12.06,1.911,0.113,1.798,0.94,0.67,29.11,-,-,72.23,-
34,高雄市,2018/05,小港,9.4,0.23,-,22.9,39,11,17.9,4.3,13.59,1.89,0.111,1.779,2.02,1.68,29.72,2.66,4.76,71.93,36.83
35,高雄市,2018/05,鳳山,3.8,0.38,-,23.9,31,15,15.78,3.11,12.66,2.043,0.126,1.917,1.78,1.46,30.26,3.78,5.5,66.68,30.33
36,高雄市,2018/05,林園,2.9,0.17,-,30.1,27,13,6.12,1.01,5.1,1.961,0.022,1.939,2.26,2.05,28.99,-,-,74.75,-
37,高雄市,2018/05,大寮,3.6,0.24,-,22.3,35,19,13.35,2.64,10.71,2.227,0.085,2.142,1.77,1.5,29.34,-,-,73.11,-
38,高雄市,2018/05,仁武,3.8,0.25,-,27.5,40,15,12.45,2.2,10.24,1.947,0.096,1.852,2,1.7,28.98,-,-,73.24,-
39,高雄市,2018/05,橋頭,3,0.25,-,22.6,30,12,11.34,2.15,9.19,-,-,-,2.58,2.3,29.5,3.33,5.64,73.83,18.93
40,高雄市,2018/05,美濃,2.1,0.21,-,28.4,37,12,6.62,0.89,5.71,-,-,-,1.3,1.05,29.21,-,-,71.23,-
41,基隆市,2018/05,基隆,3.4,0.31,-,36.2,29,17,14.29,1.74,12.54,2.018,0.104,1.914,1.33,0.96,26.6,-,-,76.55,-
42,新竹市,2018/05,新竹,1.9,0.35,-,26.1,33,17,14.37,2.07,12.3,1.916,0.098,1.817,2.05,1.54,27.88,-,-,70.27,-
43,嘉義市,2018/05,嘉義,3.5,0.28,-,27,45,19,11.24,1.7,9.53,1.849,0.08,1.769,1.91,1.61,28.54,-,-,69.25,-
44,宜蘭縣,2018/05,宜蘭,2,0.27,425.11,33.3,36,14,6.27,0.84,5.4,-,-,-,1.52,1.14,27.32,-,-,74.7,-
45,宜蘭縣,2018/05,冬山,2.1,0.28,-,28.6,36,18,9.88,2.56,7.32,-,-,-,1.59,1.28,26.78,1.47,5.2,77.85,95.96
46,桃園市,2018/05,桃園,6.2,0.37,-,28.7,47,21,18.28,2.51,15.77,2.079,0.152,1.928,1.82,1.44,29.15,-,-,70.89,-
47,桃園市,2018/05,中壢,3.5,0.92,-,20.4,54,18,45.83,21.17,24.66,2.126,0.311,1.815,1.32,0.64,27.75,-,-,72.79,-
48,桃園市,2018/05,大園,3.7,0.27,-,36.6,41,19,14.22,2.25,11.97,-,-,-,3.27,3,27.27,-,-,71.43,-
49,桃園市,2018/05,龍潭,2.7,0.32,-,35.4,42,21,13.45,1.9,11.55,-,-,-,2.51,2.23,26.63,-,-,73.93,-
50,桃園市,2018/05,平鎮,3.3,0.33,-,31.9,48,19,17.23,2.26,14.98,-,-,-,2.19,1.88,27.34,-,-,75.94,-
51,桃園市,2018/05,觀音,3.3,0.22,-,31,46,15,9.13,0.69,8.51,-,-,-,3.42,3.11,26.81,4.4,4.77,79.33,8.02
52,新竹縣,2018/05,竹東,1.9,0.27,-,26,37,21,9.62,1.79,7.83,-,-,-,1.8,1.37,27.36,-,-,73.78,-
53,新竹縣,2018/05,湖口,2.9,0.25,-,32.2,36,18,12.3,2.21,10.09,-,-,-,3.26,3.03,26.95,-,-,76.23,-
54,苗栗縣,2018/05,苗栗,2.9,0.3,-,28.5,42,21,11.77,1.77,10,-,-,-,2.2,1.78,28.96,-,-,71.5,-
55,苗栗縣,2018/05,頭份,3,0.28,-,28.4,38,15,13.18,1.9,11.27,2.015,0.083,1.933,2.54,2.18,27.61,-,-,72.73,-
56,苗栗縣,2018/05,三義,2.9,0.2,-,32.4,32,19,9.74,1.21,8.53,-,-,-,2.76,2.53,25.07,8.63,5.18,76.62,5.49
57,彰化縣,2018/05,彰化,4.5,0.3,-,25.8,48,19,11.82,1.39,10.43,1.97,0.122,1.847,4.1,3.43,28.82,-,-,76.53,-
58,彰化縣,2018/05,線西,2.8,0.23,-,30.4,32,16,9.75,1.57,8.18,2.057,0.151,1.906,2.57,2.37,28.75,-,-,78.92,-
59,彰化縣,2018/05,二林,3.6,0.21,-,23.9,35,21,8.9,1.85,7.04,-,-,-,2.11,1.93,28.07,-,-,77.58,-
60,南投縣,2018/05,南投,2.2,0.31,-,22,43,20,14.52,1.94,12.57,1.91,0.172,1.738,1.76,1.4,29.59,3.69,6.07,67.81,78.56
61,南投縣,2018/05,埔里,1.8,0.25,-,34.6,31,22,10.21,1.08,9.13,-,-,-,1.76,1.38,27.1,-,-,79.15,-
62,南投縣,2018/05,竹山,2.3,0.21,-,29.8,41,19,10.12,2.03,8.09,-,-,-,1.48,1.07,27.91,-,-,75.88,-
63,雲林縣,2018/05,斗六,2.8,0.28,-,30,44,19,12.26,2.18,10.08,-,-,-,1.66,1.33,29.62,-,-,70.25,-
64,雲林縣,2018/05,崙背,2.5,0.22,-,29.4,44,20,7.87,1.4,6.46,-,-,-,2.28,2.05,28.68,5.25,5.92,76.92,21.62
65,雲林縣,2018/05,麥寮,2.9,0.24,-,26.5,52,18,10.19,2.43,7.76,2.11,0.062,2.048,2.54,2.27,27.17,-,-,78.2,-
66,雲林縣,2018/05,臺西,2.9,0.21,-,30.5,37,16,8.81,2.12,6.69,2.022,0.042,1.985,3.43,3.27,27.78,-,-,80.79,-
67,嘉義縣,2018/05,朴子,2.9,0.25,-,28,53,18,9.47,2.18,7.29,-,-,-,2.15,1.85,28.99,-,-,75.29,-
68,嘉義縣,2018/05,新港,2.5,0.23,-,26.4,45,19,9.48,2.06,7.42,-,-,-,2.01,1.74,28.42,-,-,68.59,-
69,屏東縣,2018/05,屏東,2.9,0.31,-,27.3,38,17,12.44,1.48,10.95,2.029,0.087,1.942,1.93,1.55,29.7,-,-,70.66,-
70,屏東縣,2018/05,潮州,2.1,0.19,-,25.3,44,15,7.76,1.18,6.58,-,-,-,1.81,1.56,28.49,-,-,69.24,-
71,屏東縣,2018/05,恆春,1.5,0.1,409.9,31.8,33,9,2.27,0.64,1.59,-,-,-,4.18,3.95,28.2,2.29,5.61,80.34,5.69
72,臺東縣,2018/05,臺東,1.3,0.28,-,22.1,26,10,7.12,2.29,4.83,-,-,-,1.74,1.38,27.86,0.99,4.78,76.91,54.19
73,臺東縣,2018/05,關山,2.1,-,-,19.9,22,9,4.87,1.75,3.11,-,-,-,1.32,1.14,27.11,-,-,76.14,-
74,花蓮縣,2018/05,花蓮,1.7,0.22,-,26.8,29,7,5.73,1.09,4.63,-,-,-,2.26,1.95,27.09,1.38,4.81,75.09,45.44
75,澎湖縣,2018/05,馬公,1.8,0.18,-,30.7,21,11,6.14,1.99,4.15,-,-,-,2.5,2.08,27.14,0.75,4.91,85.15,70.75
76,金門縣,2018/05,金門,3.5,0.19,-,37.4,42,20,9.11,1.07,8.02,-,-,-,3.37,3.05,26.91,3.65,4.84,80.78,160.04
77,連江縣,2018/05,馬祖,2.5,0.21,-,46.2,47,21,5.46,0.67,4.76,-,-,-,2.77,2.46,23.93,1.91,4.96,84.59,95.64
,,,,,,,,,,,,,,,,,,,,,,
