序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/07,大里,2.8,0.32,434.51,24.9,40,14,13.21,2.74,10.47,1.906,0.147,1.759,1.9,1.53,29.23,-,-,73.63,-
25,臺南市,2018/07,新營,2.1,0.2,-,22.5,36,17,6.84,1,5.81,2.019,0.055,1.965,1.68,1.31,29.28,3.9,5.58,78.08,21.86
26,臺南市,2018/07,善化,2.5,0.15,423.27,21.4,32,10,6.67,1.61,5.06,-,-,-,2.17,1.99,28.66,-,-,82.1,-
27,臺南市,2018/07,安南,2.3,0.22,-,24.1,34,12,11.27,2.67,8.61,2.05,0.178,1.873,2.5,2.19,29.65,-,-,77.28,-
28,臺南市,2018/07,臺南,2.4,0.25,-,24.5,28,12,10.12,2.18,7.95,1.87,0.097,1.773,2.06,1.73,29.2,-,-,78.8,-
29,高雄市,2018/07,左營,2,0.29,-,21.2,34,11,13.66,2.7,10.95,1.903,0.117,1.786,1.97,1.59,29.06,-,-,79.47,-
30,高雄市,2018/07,楠梓,2.2,0.24,-,23.2,38,14,13.59,3.59,10,1.922,0.139,1.783,1.73,1.39,28.56,-,-,79.29,-
31,高雄市,2018/07,前金,2.9,0.32,-,22.4,33,11,14.44,3.64,10.8,1.893,0.119,1.774,2.1,1.7,29.32,-,-,79.31,-
32,高雄市,2018/07,前鎮,4.1,0.35,-,19.5,32,8,19.36,5.38,13.98,1.959,0.127,1.833,1.5,1.04,29.58,-,-,76.51,-
33,高雄市,2018/07,復興,4.1,0.44,-,19.3,26,8,18.34,4.61,13.73,1.99,0.179,1.811,0.99,0.71,29.12,-,-,77.67,-
34,高雄市,2018/07,小港,6,0.27,-,19,31,9,18.23,4.85,13.39,1.919,0.13,1.789,2.02,1.74,30.08,4.37,4.88,80.73,29.61
35,高雄市,2018/07,鳳山,2.7,0.34,-,22.8,21,10,13.35,2.13,11.22,1.984,0.137,1.848,1.78,1.45,29.78,5.65,5.21,74.37,30.56
36,高雄市,2018/07,林園,2.9,0.18,-,23.5,28,12,7.71,1.21,6.5,1.964,0.064,1.901,2.31,2.03,28.92,-,-,80.03,-
37,高雄市,2018/07,大寮,5.2,0.26,-,19.8,31,15,13.88,2.72,11.16,2.168,0.144,2.024,1.59,1.3,29.03,-,-,80.68,-
38,高雄市,2018/07,仁武,3.2,0.23,-,25.2,34,11,11.87,2.04,9.82,2.008,0.116,1.892,1.71,1.4,28.72,-,-,80.02,-
39,高雄市,2018/07,橋頭,2.4,0.22,-,20.9,29,4,10.52,1.87,8.64,-,-,-,2.43,2.14,29.3,4.62,5.38,81.38,23.79
40,高雄市,2018/07,美濃,1.2,0.15,-,22.9,27,5,4.41,1.15,3.25,-,-,-,1.19,0.87,28.35,-,-,80.74,-
41,基隆市,2018/07,基隆,2.3,0.19,-,19.9,19,10,10.63,2.19,8.44,1.878,0.082,1.797,1.97,1.46,29.58,-,-,73.25,-
42,新竹市,2018/07,新竹,2.5,0.26,-,19.9,24,14,11.12,2.43,8.7,1.843,0.075,1.768,1.98,1.43,30.56,-,-,67.82,-
43,嘉義市,2018/07,嘉義,3.2,0.2,-,25.1,33,12,9.02,2.09,6.94,1.845,0.072,1.773,1.67,1.39,28.46,-,-,76.21,-
44,宜蘭縣,2018/07,宜蘭,3.2,0.2,416.95,21.5,26,8,5.65,1.04,4.59,-,-,-,1.9,1.5,29.5,-,-,72.63,-
45,宜蘭縣,2018/07,冬山,2.6,0.22,-,18.3,28,12,10.92,3.8,7.11,-,-,-,2.22,1.86,29.97,1.98,5.35,73.85,18.66
46,桃園市,2018/07,桃園,5.3,0.27,-,19.2,30,14,14.11,3.3,10.81,1.926,0.13,1.797,2.11,1.68,30.8,-,-,68.89,-
47,桃園市,2018/07,中壢,3,0.8,-,12.3,37,10,40.18,22.27,17.92,2.004,0.266,1.738,1.52,0.87,30.05,-,-,71.45,-
48,桃園市,2018/07,大園,3.2,0.19,-,22.5,32,13,11.52,2.86,8.67,-,-,-,4.25,3.98,30.04,-,-,69.56,-
49,桃園市,2018/07,龍潭,2.4,0.23,-,23.5,31,13,10.48,2.3,8.18,-,-,-,2.78,2.48,28.77,-,-,72.21,-
50,桃園市,2018/07,平鎮,2.9,0.24,-,21.6,28,12,13.3,2.64,10.68,-,-,-,2.5,2.12,29.63,-,-,73.91,-
51,桃園市,2018/07,觀音,3.3,0.15,-,21.2,38,17,7.97,1.34,6.67,-,-,-,3.86,3.48,29.24,2.19,5.02,78.15,44.42
52,新竹縣,2018/07,竹東,1.8,0.2,-,21.1,35,14,8.71,2.61,6.12,-,-,-,1.91,1.5,29.52,-,-,73.08,-
53,新竹縣,2018/07,湖口,3.2,0.16,-,24.9,31,13,10.52,2.77,7.75,-,-,-,3.56,3.29,29.65,-,-,74.4,-
54,苗栗縣,2018/07,苗栗,2.4,0.25,-,23.5,36,20,9.7,1.78,7.92,-,-,-,2.31,1.9,30.61,-,-,73.06,-
55,苗栗縣,2018/07,頭份,2.9,0.21,-,24,32,10,10.99,1.93,9.05,1.993,0.066,1.927,2.63,2.26,29.93,-,-,71.72,-
56,苗栗縣,2018/07,三義,2.7,0.18,-,29.4,28,15,6.79,1.29,5.49,-,-,-,2.58,2.36,26.66,2.64,5.1,79.62,16.19
57,彰化縣,2018/07,彰化,4.2,0.24,-,24.2,37,16,6.81,0.44,6.45,1.929,0.111,1.818,3.29,2.75,29.81,-,-,78.29,-
58,彰化縣,2018/07,線西,2.7,0.19,-,27,28,12,8.42,1.65,6.78,1.998,0.126,1.873,2.81,2.59,29.33,-,-,82.71,-
59,彰化縣,2018/07,二林,3.2,0.16,-,22.9,37,20,6.71,1.35,5.35,-,-,-,2.22,2.01,29.4,-,-,79.11,-
60,南投縣,2018/07,南投,2.1,0.27,-,21,29,15,10.66,1.6,9.06,1.861,0.059,1.803,1.73,1.37,28.58,6.16,5.83,73.07,12
61,南投縣,2018/07,埔里,1.9,0.22,-,27.2,27,18,9.23,1.64,7.58,-,-,-,1.61,1.2,26.77,-,-,85.15,-
62,南投縣,2018/07,竹山,2.3,0.18,-,24.6,33,13,7.27,2.2,5.08,-,-,-,1.4,0.99,27.98,-,-,82.45,-
63,雲林縣,2018/07,斗六,2.4,0.23,-,27.9,36,15,9.09,1.99,7.1,-,-,-,1.59,1.26,30.35,-,-,74.1,-
64,雲林縣,2018/07,崙背,1.8,0.15,-,25.1,32,18,7.54,2.04,5.5,-,-,-,1.39,1.1,29.28,-,-,76.45,-
65,雲林縣,2018/07,麥寮,2.9,0.2,-,23.1,51,17,9.69,2.61,7.09,2.069,0.086,1.983,2.46,2.18,28.32,-,-,80.78,-
66,雲林縣,2018/07,臺西,3.2,0.14,-,24.8,31,16,7.91,1.93,5.98,1.938,0.02,1.926,3.22,2.75,28.86,-,-,84.16,-
67,嘉義縣,2018/07,朴子,2.3,0.2,-,24.4,45,14,8.67,2.01,6.67,-,-,-,2.08,1.76,30.18,-,-,80.13,-
68,嘉義縣,2018/07,新港,2.3,0.2,-,23.5,35,16,9.28,1.76,7.52,-,-,-,2.03,1.75,29.17,-,-,71.99,-
69,屏東縣,2018/07,屏東,2.3,0.3,-,24.2,27,12,10.61,1.24,9.36,2.015,0.094,1.922,1.77,1.42,28.95,-,-,80.45,-
70,屏東縣,2018/07,潮州,1.9,0.17,-,23.4,33,14,6.38,0.93,5.44,-,-,-,1.65,1.28,28.02,-,-,84.83,-
71,屏東縣,2018/07,恆春,1.9,0.06,394.11,22.2,17,6,2.2,0.76,1.41,-,-,-,4.36,4.12,28.26,3.47,5.13,87.14,17.49
72,臺東縣,2018/07,臺東,1.3,0.23,-,14.6,25,8,7.26,2.58,4.68,-,-,-,1.8,1.41,29.03,2.18,5.84,76.28,12.11
73,臺東縣,2018/07,關山,1.8,-,-,12.9,21,9,4.67,2.28,2.38,-,-,-,1.08,0.8,28.51,-,-,74.53,-
74,花蓮縣,2018/07,花蓮,1.9,0.16,-,17.4,26,4,5.47,1.34,4.13,-,-,-,2.19,1.91,28.73,1.3,5.78,72.67,26.64
75,澎湖縣,2018/07,馬公,2,0.12,-,24.4,21,9,5.37,1.81,3.55,-,-,-,2.21,1.78,28.93,1.41,5.15,87.58,22.89
76,金門縣,2018/07,金門,3.3,0.14,-,27.4,33,13,7.98,1.26,6.71,-,-,-,3.48,3.19,30.04,1.67,5.78,76.3,22.94
77,連江縣,2018/07,馬祖,3,0.1,-,28.7,40,14,4.39,0.87,3.49,-,-,-,3.1,2.83,27.94,3.28,5.4,88.04,184.16
,,,,,,,,,,,,,,,,,,,,,,
