序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/10,大里,2.5,0.5,439.62,33.7,48,14,20.51,3.04,17.47,2.054,0.181,1.873,1.88,1.47,25.31,-,-,66.39,-
25,臺南市,2018/10,新營,3.1,0.37,-,39.6,71,34,14.17,1.33,12.82,2.135,0.102,2.033,2.08,1.81,25.27,1.5,8,73.99,279.8
26,臺南市,2018/10,善化,3.4,0.34,431.55,39.8,69,30,13.5,1.44,12.05,-,-,-,2.54,2.34,25.54,-,-,75.87,-
27,臺南市,2018/10,安南,3,0.38,-,48.6,77,29,15.19,1.97,13.22,2.239,0.121,2.118,2.33,1.97,25.63,-,-,70.42,-
28,臺南市,2018/10,臺南,3.5,0.44,-,47.2,68,30,16.29,1.99,14.29,2.124,0.152,1.972,2.25,1.82,25.85,-,-,72.38,-
29,高雄市,2018/10,左營,3.8,0.45,-,48.8,79,30,16.8,1.55,15.24,2.118,0.142,1.976,2.11,1.86,26.02,-,-,73.8,-
30,高雄市,2018/10,楠梓,3.1,0.43,-,45.8,83,38,17.94,2.62,15.32,2.143,0.16,1.983,1.91,1.61,25.93,-,-,73.62,-
31,高雄市,2018/10,前金,3.4,0.46,-,49.6,76,32,15.56,1.8,13.78,2.129,0.136,1.993,2.27,1.96,26.18,-,-,72.71,-
32,高雄市,2018/10,前鎮,5.1,0.57,-,44.3,76,29,25.65,3.37,22.28,2.237,0.195,2.042,1.65,1.3,27.01,-,-,69.31,-
33,高雄市,2018/10,復興,5,0.64,-,43.7,71,29,23.85,3.06,20.79,2.252,0.242,2.011,0.96,0.7,27.13,-,-,70.88,-
34,高雄市,2018/10,小港,6.7,0.47,-,43.7,71,29,24.65,3.49,21.17,2.155,0.186,1.969,1.82,1.56,27.8,0.58,5.27,67.62,65.85
35,高雄市,2018/10,鳳山,3.8,0.53,-,45,65,30,20.34,1.61,18.72,2.239,0.224,2.015,1.73,1.4,27.35,0.5,5.92,66.75,30.8
36,高雄市,2018/10,林園,4.1,0.38,-,53.8,70,29,12.09,0.85,11.24,2.184,0.094,2.09,2.22,1.97,26.63,-,-,74.09,-
37,高雄市,2018/10,大寮,5,0.44,-,43.7,64,35,17.93,1.76,16.17,2.353,0.176,2.177,1.52,1.27,26.17,-,-,78.2,-
38,高雄市,2018/10,仁武,4.5,0.44,-,47.1,73,28,20.14,1.61,18.52,2.235,0.201,2.034,1.97,1.74,26.14,-,-,73.2,-
39,高雄市,2018/10,橋頭,3.4,0.42,-,44.1,75,40,16.17,1.21,14.94,-,-,-,2.32,2.02,26.26,0.5,6.66,73.87,42.2
40,高雄市,2018/10,美濃,1.9,0.34,-,43.3,59,24,7.81,0.98,6.81,-,-,-,1.02,1.53,26.31,-,-,75.42,-
41,基隆市,2018/10,基隆,1.7,0.26,-,46.7,26,12,9.11,1.46,7.65,1.897,0.071,1.826,1.51,1.15,22.94,-,-,77.93,-
42,新竹市,2018/10,新竹,2.1,0.33,-,43.6,37,19,-,-,-,1.915,0.1,1.815,3.07,2.38,24.29,-,-,69.26,-
43,嘉義市,2018/10,嘉義,4.8,0.45,-,39.6,67,29,20.12,1.74,18.37,2.057,0.155,1.902,1.98,1.67,25.07,-,-,70.51,-
44,宜蘭縣,2018/10,宜蘭,1.6,0.27,415.21,43.7,32,10,5.03,0.61,4.4,-,-,-,1.38,1.02,22.71,-,-,78.18,-
45,宜蘭縣,2018/10,冬山,1.6,0.25,-,42.1,29,10,9.27,1.9,7.37,-,-,-,1.81,1.51,22.91,3.16,4.67,81.84,43.68
46,桃園市,2018/10,桃園,4.4,0.43,-,38.9,36,15,16.4,2.34,14.07,2.12,0.132,1.987,2.3,1.96,22.59,-,-,75.28,-
47,桃園市,2018/10,中壢,3,0.83,-,29.2,42,10,40.49,13.93,26.56,2.159,0.272,1.888,1.3,0.56,23.28,-,-,74.47,-
48,桃園市,2018/10,大園,3.1,0.28,-,47.4,43,15,17.22,2.71,14.52,-,-,-,4.88,4.58,23.47,-,-,72.43,-
49,桃園市,2018/10,龍潭,2.5,0.31,-,48.7,32,16,11.54,1.64,9.89,-,-,-,4.07,3.76,22.07,-,-,77.22,-
50,桃園市,2018/10,平鎮,3.1,0.39,-,45.8,41,14,17.42,1.9,15.52,-,-,-,3.04,2.72,22.93,-,-,75.63,-
51,桃園市,2018/10,觀音,4.3,0.25,-,49.2,49,21,10.57,0.48,10.16,-,-,-,5.33,4.91,22.9,0.89,4.36,76.09,154.63
52,新竹縣,2018/10,竹東,1.6,0.27,-,40.1,31,12,8.95,1.65,7.3,-,-,-,1.58,1.05,24.43,-,-,72.92,-
53,新竹縣,2018/10,湖口,2.5,0.27,-,50.4,40,16,10.09,1.37,8.72,-,-,-,4.46,4.18,23.08,-,-,75.19,-
54,苗栗縣,2018/10,苗栗,2.5,0.34,-,38.8,54,20,12.71,1.71,11,-,-,-,2.71,2.35,23.8,-,-,71.73,-
55,苗栗縣,2018/10,頭份,2.1,0.29,-,45.1,38,17,12.62,1.25,11.37,2.02,0.078,1.942,2.96,2.51,23.82,-,-,69.52,-
56,苗栗縣,2018/10,三義,2.7,0.24,-,45.8,31,17,7.86,0.88,6.98,-,-,-,3.73,3.52,21.08,0.86,5.76,80.01,15.81
57,彰化縣,2018/10,彰化,2.5,0.5,-,43.7,48,19,18.12,1.5,16.6,2.091,0.186,1.906,0.86,0.36,25.3,-,-,66.09,-
58,彰化縣,2018/10,線西,3.8,0.34,-,46.4,45,18,12.84,1.14,11.71,1.983,0.079,1.903,4.66,4.43,24.33,-,-,73.13,-
59,彰化縣,2018/10,二林,4.5,0.32,-,42.5,54,21,11.27,1.22,10.04,-,-,-,3.29,3.05,24.44,-,-,74.93,-
60,南投縣,2018/10,南投,2.1,0.46,-,31.3,52,25,19.18,2.31,16.86,2.082,0.254,1.828,1.57,1.19,25.14,0.75,7.13,69.02,66.88
61,南投縣,2018/10,埔里,2.1,0.37,-,39.1,36,23,13.28,2.04,11.24,-,-,-,1.5,1.15,23.88,-,-,80.59,-
62,南投縣,2018/10,竹山,2.3,0.34,-,41.5,56,31,13.58,2.01,11.57,-,-,-,1.42,1.02,24.52,-,-,76.02,-
63,雲林縣,2018/10,斗六,3.2,0.38,-,42.2,58,30,16.29,2.43,13.86,-,-,-,1.75,1.44,25.64,-,-,71.38,-
64,雲林縣,2018/10,麥寮,3.3,0.33,-,43.1,95,27,12.14,2.21,9.93,2.082,0.061,2.021,3.8,3.51,23.68,-,-,75.49,-
65,雲林縣,2018/10,臺西,3.5,0.26,-,52.8,57,24,10.45,1.45,9,1.961,0.031,1.932,6.53,6.31,24.09,-,-,80.12,-
66,嘉義縣,2018/10,朴子,3,0.32,-,45,84,24,10.15,1.47,8.68,-,-,-,2.25,1.92,25.42,-,-,74.81,-
67,嘉義縣,2018/10,新港,3.2,0.34,-,43.9,66,28,12.52,1.35,11.16,-,-,-,2.38,2.06,24.5,-,-,70.57,-
68,屏東縣,2018/10,屏東,3.1,0.48,-,47.2,61,33,13.66,0.79,12.84,2.152,0.122,2.031,1.63,1.29,26.8,-,-,74.53,-
69,屏東縣,2018/10,潮州,2.4,0.33,-,45.8,65,29,9,0.86,8.12,-,-,-,1.52,1.24,25.73,-,-,79.26,-
70,屏東縣,2018/10,恆春,2.3,0.17,405.37,50.6,26,10,3.07,0.6,2.44,-,-,-,6.67,6.4,25.51,3.78,5.32,81.05,40.86
71,臺東縣,2018/10,臺東,1.2,0.3,-,33.9,35,8,6.25,1.67,4.58,-,-,-,2.24,1.83,25.52,1.2,5.31,73.94,21.66
72,臺東縣,2018/10,關山,1.9,-,-,31.5,29,11,4.64,1.58,3.06,-,-,-,1.33,1.16,23.55,-,-,79.14,-
73,花蓮縣,2018/10,花蓮,1.5,0.28,-,37.7,32,9,7.94,1.14,6.79,-,-,-,1.99,1.7,24.19,2.67,5,73.94,22.48
74,澎湖縣,2018/10,馬公,1.7,0.21,-,64.8,37,16,3.21,1.09,2.11,-,-,-,5.61,4.93,24.88,1,6.23,70.38,425.7
75,金門縣,2018/10,金門,3.8,0.29,-,58.4,59,26,9.65,0.73,8.89,-,-,-,3.14,2.68,23.81,0.77,5.93,62.84,19.97
76,連江縣,2018/10,馬祖,2.5,0.25,-,64.4,48,23,4.4,0.52,3.85,-,-,-,2.38,1.88,21.72,0.85,4.68,73.81,119.52
,,,,,,,,,,,,,,,,,,,,,,
