序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
36,高雄市,2007/12,仁武,12.7,0.75,-,26.1,125,76,47.7,11.83,35.86,2.639,0.576,2.063,-,22.34,-,-,74.11,-
37,高雄市,2007/12,橋頭,-,0.71,-,28.7,132,82,36.08,7.32,28.76,-,-,-,-,21.35,-,-,75.54,-
38,高雄市,2007/12,美濃,2.9,0.54,-,36.2,98,67,17.38,3.14,14.25,-,-,-,-,21.33,-,-,77.1,-
39,基隆市,2007/12,基隆,4.2,0.54,-,25.6,45,30,21.7,6.52,15.17,1.895,0.164,1.731,-,19.07,-,-,75.54,-
40,新竹市,2007/12,新竹,5.9,0.61,-,21.4,71,48,28.56,6.82,21.73,2.255,0.244,2.011,-,19.0,-,-,73.24,-
41,嘉義市,2007/12,嘉義,5.9,0.76,-,21.6,104,76,36.21,8.31,27.9,2.323,0.324,1.999,-,19.78,-,-,69.87,-
42,宜蘭縣,2007/12,宜蘭,3.1,0.56,394.48,21.9,52,36,16.51,3.07,13.43,-,-,-,-,20.09,-,-,82.15,-
43,宜蘭縣,2007/12,冬山,3.0,0.52,-,17.2,55,26,20.74,6.02,14.72,-,-,-,-,18.9,-,-,81.16,-
44,桃園市,2007/12,桃園,7.9,0.75,-,22.9,72,42,33.64,9.64,24.0,2.306,0.303,2.002,-,18.69,-,-,76.0,-
45,桃園市,2007/12,中壢,7.3,1.03,-,18.7,83,49,49.75,20.57,29.18,2.469,0.492,1.977,-,18.44,-,-,77.5,-
46,桃園市,2007/12,大園,5.4,0.46,-,28.8,68,41,24.65,5.38,19.26,-,-,-,-,18.25,-,-,77.77,-
47,桃園市,2007/12,龍潭,2.9,0.58,-,26.4,72,34,29.21,7.57,21.64,-,-,-,-,17.23,-,-,81.62,-
48,桃園市,2007/12,平鎮,6.4,0.61,-,23.6,74,40,29.86,6.1,23.75,-,-,-,-,17.74,-,-,73.83,-
49,桃園市,2007/12,觀音,6.8,0.43,-,31.4,72,40,15.34,1.95,13.38,-,-,-,-,18.53,-,-,77.0,-
50,新竹縣,2007/12,竹東,2.6,0.53,-,22.2,59,32,20.78,4.09,16.69,-,-,-,-,18.68,-,-,72.23,-
51,新竹縣,2007/12,湖口,5.1,0.47,-,29.1,66,45,19.49,4.47,15.01,-,-,-,-,18.45,-,-,73.09,-
52,苗栗縣,2007/12,苗栗,5.6,0.61,-,20.5,72,43,27.68,7.36,20.31,-,-,-,-,18.9,-,-,75.0,-
53,苗栗縣,2007/12,頭份,4.8,0.52,-,25.4,70,42,23.09,5.06,18.02,-,-,-,-,18.84,-,-,75.18,-
54,苗栗縣,2007/12,三義,3.4,0.44,-,26.3,61,36,16.76,2.38,14.36,-,-,-,-,16.45,-,-,81.07,-
55,彰化縣,2007/12,彰化,6.6,0.69,-,16.1,84,56,41.78,12.63,29.15,2.217,0.281,1.936,-,19.85,-,-,69.6,-
56,彰化縣,2007/12,線西,6.5,0.48,-,22.6,82,47,23.85,4.42,19.42,-,-,-,-,20.74,-,-,74.69,-
57,彰化縣,2007/12,二林,4.3,0.46,-,27.4,83,52,19.51,3.63,15.88,-,-,-,-,19.57,-,-,78.66,-
58,南投縣,2007/12,南投,4.8,0.78,-,19.5,93,58,37.51,11.23,26.28,2.073,0.274,1.799,-,19.61,-,-,71.86,-
59,南投縣,2007/12,埔里,2.2,0.67,-,24.9,81,56,24.83,4.63,20.21,-,-,-,-,18.97,-,-,66.18,-
60,南投縣,2007/12,竹山,3.7,0.65,-,24.1,94,65,30.61,6.34,24.27,-,-,-,-,19.29,-,-,75.29,-
61,雲林縣,2007/12,斗六,4.4,0.64,-,23.3,100,60,32.06,7.22,24.84,-,-,-,-,20.13,-,-,72.89,-
62,雲林縣,2007/12,崙背,5.1,0.53,-,25.8,92,50,20.16,3.33,16.92,-,-,-,-,20.43,-,-,73.65,-
63,雲林縣,2007/12,臺西,4.7,0.41,-,39.3,68,40,13.45,1.91,11.52,-,-,-,-,20.87,-,-,79.04,-
64,嘉義縣,2007/12,朴子,4.6,0.51,-,27.6,109,52,20.34,3.01,17.32,-,-,-,-,19.85,-,-,74.75,-
65,嘉義縣,2007/12,新港,4.6,0.55,-,24.5,111,61,23.39,5.07,18.32,-,-,-,-,18.89,-,-,72.42,-
66,屏東縣,2007/12,屏東,5.2,0.78,-,31.9,122,69,26.95,3.84,23.12,2.31,0.288,2.022,-,22.18,-,-,68.96,-
67,屏東縣,2007/12,潮州,5.4,0.64,-,34.3,120,70,23.04,3.76,19.28,-,-,-,-,21.72,-,-,71.89,-
68,屏東縣,2007/12,恆春,2.5,0.24,378.95,44.4,32,19,5.09,3.04,2.05,-,-,-,-,22.4,-,-,77.28,-
69,臺東縣,2007/12,臺東,2.7,0.47,-,31.9,33,22,11.25,3.58,7.67,-,-,-,-,21.97,-,-,73.86,-
70,臺東縣,2007/12,關山,2.3,-,-,25.3,34,20,8.17,2.09,6.09,-,-,-,-,19.63,-,-,78.19,-
71,花蓮縣,2007/12,花蓮,3.1,0.65,-,20.6,47,27,20.05,4.22,15.83,-,-,-,-,20.91,-,-,76.36,-
72,澎湖縣,2007/12,馬公,3.4,0.38,-,45.1,60,38,5.91,0.76,5.34,-,-,-,-,20.1,-,-,73.4,-
73,金門縣,2007/12,金門,12.4,0.68,-,33.5,133,70,23.16,4.92,18.23,-,-,-,-,18.89,-,-,72.8,-
74,連江縣,2007/12,馬祖,6.6,0.53,-,38.6,80,51,12.84,2.43,10.41,-,-,-,-,15.12,-,-,75.57,-
,,,,,,,,,,,,,,,,,,,,,
