序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
39,高雄市,2013/11,美濃,2.5,0.44,-,32.1,81,14,2.43,11.26,-,-,-,23.7,75.11
40,基隆市,2013/11,基隆,2.3,0.4,-,33.9,39,14,3.32,10.25,2.04,0.113,1.93,21.01,80.27
41,新竹市,2013/11,新竹,4.3,0.45,-,33.5,56,20,2.89,17.27,1.87,0.175,1.692,21.23,74.48
42,嘉義市,2013/11,嘉義,4.8,0.61,-,27.0,102,27,4.23,22.49,2.21,0.252,1.962,22.18,74.21
43,宜蘭縣,2013/11,宜蘭,2.9,0.37,416.76,31.5,45,10,1.74,8.31,-,-,-,20.14,82.91
44,宜蘭縣,2013/11,冬山,2.4,0.32,-,25.2,41,15,4.17,10.44,-,-,-,20.08,85.88
45,桃園市,2013/11,桃園,6.0,0.48,-,32.3,57,20,3.27,16.69,2.08,0.153,1.924,21.0,74.74
46,桃園市,2013/11,中壢,6.7,0.99,-,23.5,74,45,18.41,26.38,2.4,0.422,1.975,20.87,71.45
47,桃園市,2013/11,大園,5.7,0.34,-,34.6,64,23,4.56,18.0,-,-,-,20.31,79.13
48,桃園市,2013/11,龍潭,3.4,0.45,-,32.4,65,19,3.77,15.48,-,-,-,19.81,76.69
49,桃園市,2013/11,平鎮,6.6,0.45,-,32.0,70,20,2.75,16.91,-,-,-,20.75,74.82
50,桃園市,2013/11,觀音,8.3,0.32,-,31.8,77,14,1.69,12.47,-,-,-,21.24,71.46
51,新竹縣,2013/11,竹東,3.3,0.41,-,32.5,47,16,2.75,13.71,-,-,-,21.0,72.88
52,新竹縣,2013/11,湖口,4.9,0.36,-,35.8,54,16,3.17,12.56,-,-,-,20.83,71.21
53,苗栗縣,2013/11,苗栗,4.0,0.47,-,27.0,59,22,4.44,17.94,-,-,-,21.45,72.62
54,苗栗縣,2013/11,頭份,3.6,0.4,-,31.1,56,20,3.16,17.24,2.0,0.13,1.864,21.3,71.57
55,苗栗縣,2013/11,三義,2.5,0.34,-,32.8,54,13,1.74,10.76,-,-,-,18.93,79.75
56,彰化縣,2013/11,彰化,4.7,0.57,-,25.8,72,24,3.4,20.66,2.11,0.248,1.865,21.98,69.02
57,彰化縣,2013/11,線西,5.3,0.41,-,33.0,70,17,2.67,14.75,1.99,0.141,1.85,21.58,75.77
58,彰化縣,2013/11,二林,4.5,0.39,-,34.0,84,15,2.22,13.06,-,-,-,21.61,74.79
59,南投縣,2013/11,南投,3.3,0.61,-,24.4,87,26,4.08,21.93,2.16,0.255,1.903,22.14,74.0
60,南投縣,2013/11,埔里,2.4,0.49,-,28.2,60,17,2.79,14.68,-,-,-,21.71,72.94
61,南投縣,2013/11,竹山,3.2,0.47,-,28.7,85,20,2.83,17.58,-,-,-,21.42,71.88
62,雲林縣,2013/11,斗六,4.5,0.52,-,29.0,92,21,2.93,18.54,-,-,-,22.87,72.21
63,雲林縣,2013/11,崙背,4.3,0.43,-,32.2,93,16,2.0,13.85,-,-,-,22.49,77.77
64,雲林縣,2013/11,麥寮,4.0,0.38,-,37.8,81,14,2.46,11.83,1.95,0.086,1.862,22.08,76.93
65,雲林縣,2013/11,臺西,3.7,0.34,-,42.1,87,11,1.39,9.82,2.0,0.09,1.913,22.5,80.16
66,嘉義縣,2013/11,朴子,3.7,0.37,-,34.4,115,14,1.89,12.29,-,-,-,22.4,74.18
67,嘉義縣,2013/11,新港,3.6,0.43,-,33.3,100,17,2.66,13.95,-,-,-,22.08,73.78
68,屏東縣,2013/11,屏東,4.6,0.62,-,35.9,96,21,2.18,18.46,2.2,0.223,1.972,24.4,70.32
69,屏東縣,2013/11,潮州,3.6,0.44,-,36.2,103,13,1.7,11.55,-,-,-,23.23,76.02
70,屏東縣,2013/11,恆春,2.3,0.16,400.25,39.6,34,3,1.09,1.54,-,-,-,24.08,74.94
71,臺東縣,2013/11,臺東,1.5,0.37,-,29.2,35,9,2.65,5.93,-,-,-,22.76,76.98
72,臺東縣,2013/11,關山,2.1,-,-,26.4,41,5,1.3,4.15,-,-,-,20.31,80.67
73,花蓮縣,2013/11,花蓮,2.1,0.43,-,24.8,37,14,2.98,10.86,-,-,-,22.3,76.84
74,澎湖縣,2013/11,馬公,2.1,0.28,-,49.7,65,4,0.97,3.48,-,-,-,21.98,71.97
75,金門縣,2013/11,金門,6.9,0.41,-,41.9,93,14,1.89,12.2,-,-,-,20.5,63.24
76,連江縣,2013/11,馬祖,4.7,0.34,-,51.3,75,8,1.68,6.06,-,-,-,18.43,73.78
,,,,,,,,,,,,,,,,
