序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/04,大里,3.1,0.49,441.24,33.7,66,23,19.44,2.76,16.69,2.045,0.185,1.86,1.81,1.48,24.68,-,-,69.17,-
25,臺南市,2018/04,新營,2.7,0.34,-,34.2,71,29,12.44,0.77,11.63,2.145,0.083,2.062,1.91,1.59,25.39,1.67,5.26,70.34,45.47
26,臺南市,2018/04,善化,3,0.31,432.2,31,63,28,11.53,1.51,10.01,-,-,-,2.3,2.12,25.64,-,-,72.92,-
27,臺南市,2018/04,安南,2.6,0.33,-,38.4,71,27,12.63,1.71,10.91,2.101,0.113,1.987,2.44,2.12,26.06,-,-,66.96,-
28,臺南市,2018/04,臺南,2.9,0.37,-,43.3,56,25,12.93,2,10.93,2.007,0.111,1.896,2.13,1.8,25.73,-,-,69.07,-
29,高雄市,2018/04,左營,3.5,0.33,-,42.3,65,22,12.97,1.23,11.74,2.003,0.093,1.91,2.4,2.11,25.91,-,-,70.49,-
30,高雄市,2018/04,楠梓,3.1,0.36,-,39.7,75,28,15.85,3.4,12.45,2.076,0.155,1.921,2.08,1.74,25.72,-,-,68.06,-
31,高雄市,2018/04,前金,3.2,0.35,-,43,59,23,12.99,2.02,10.98,1.941,0.088,1.852,2.37,2.05,25.87,-,-,70.89,-
32,高雄市,2018/04,前鎮,4.6,0.38,-,33.5,58,24,17.75,1.78,15.97,2.069,0.108,1.962,1.68,1.29,26.43,-,-,68.04,-
33,高雄市,2018/04,復興,4.5,0.45,-,36.9,58,22,19.23,3.16,16.07,2.046,0.162,1.884,0.99,0.67,26.2,-,-,68.1,-
34,高雄市,2018/04,小港,7.1,0.34,-,35.9,57,21,20.21,2.8,17.43,1.982,0.129,1.853,2.05,1.72,26.63,1.25,5.83,66.87,64.41
35,高雄市,2018/04,鳳山,4,0.46,-,35.2,51,24,17.13,2.3,14.83,2.114,0.151,1.963,1.74,1.39,27.11,1.5,5.4,63.27,78.7
36,高雄市,2018/04,林園,4,0.29,-,43,51,21,10.19,0.96,9.23,2.061,0.053,2.008,2.37,2.13,26.17,-,-,71.39,-
37,高雄市,2018/04,大寮,4,0.35,-,34.8,58,27,16.24,2.08,14.16,2.283,0.119,2.165,1.78,1.49,26.38,-,-,70.81,-
38,高雄市,2018/04,仁武,3.8,0.35,-,40.1,61,25,15.28,1.86,13.41,2.027,0.127,1.9,1.95,1.68,25.89,-,-,69.29,-
39,高雄市,2018/04,橋頭,3.2,0.35,-,33.4,55,24,13.74,1.64,12.09,-,-,-,2.48,2.2,26.21,0,0,70.6,0
40,高雄市,2018/04,美濃,2.1,0.3,-,37.7,56,20,7.77,0.93,6.82,-,-,-,1.25,0.99,26.12,-,-,69.67,-
41,基隆市,2018/04,基隆,2.1,0.35,-,38.2,39,18,14.37,2.79,11.57,2.038,0.102,1.937,1.38,0.98,22.23,-,-,72.69,-
42,新竹市,2018/04,新竹,1.8,0.43,-,35.8,50,28,18.05,2.43,15.61,2.022,0.126,1.895,1.8,1.37,23.53,-,-,69.76,-
43,嘉義市,2018/04,嘉義,3.3,0.39,-,37.1,63,28,14.05,1.31,12.73,1.954,0.105,1.849,1.88,1.58,24.91,-,-,67.17,-
44,宜蘭縣,2018/04,宜蘭,1.6,0.31,424.11,39,49,17,6.53,0.74,5.77,-,-,-,1.48,1.11,22.71,-,-,73.83,-
45,宜蘭縣,2018/04,冬山,1.9,0.31,-,33.8,51,16,10.59,2.48,8.11,-,-,-,1.59,1.32,22.11,2.93,4.93,77.46,63.25
46,桃園市,2018/04,桃園,6.2,0.5,-,32.2,61,25,22.66,3.24,19.41,2.186,0.175,2.011,1.44,1.1,22.23,-,-,73.62,-
47,桃園市,2018/04,中壢,3.4,0.98,-,26.8,70,26,49.43,18.99,30.44,2.239,0.336,1.903,1.19,0.62,23.22,-,-,71.49,-
48,桃園市,2018/04,大園,3.6,0.38,-,33.6,63,27,21.25,2.77,18.48,-,-,-,3.17,2.91,23.05,-,-,70.69,-
49,桃園市,2018/04,龍潭,2.6,0.41,-,43.3,55,28,16.72,2.34,14.38,-,-,-,2.32,2.02,22.01,-,-,74.49,-
50,桃園市,2018/04,平鎮,3.3,0.46,-,41.2,66,26,20.81,2.47,18.34,-,-,-,1.96,1.65,23.06,-,-,73.43,-
51,桃園市,2018/04,觀音,4.3,0.34,-,38.7,75,33,15.81,1.19,14.66,-,-,-,2.94,2.65,22.89,1.97,4.9,75.95,57.59
52,新竹縣,2018/04,竹東,2.2,0.36,-,32.9,54,26,11.44,2.06,9.38,-,-,-,1.81,1.43,22.84,-,-,74.09,-
53,新竹縣,2018/04,湖口,3.3,0.34,-,43.4,59,29,15.08,2.18,12.89,-,-,-,2.82,2.59,22.76,-,-,74.32,-
54,苗栗縣,2018/04,苗栗,2.7,0.39,-,35.5,60,31,14.21,1.92,12.29,-,-,-,1.94,1.57,24.35,-,-,72.15,-
55,苗栗縣,2018/04,頭份,2.2,0.33,-,35,56,24,14.8,1.62,13.18,2.03,0.103,1.927,2.13,1.82,23.16,-,-,71.88,-
56,苗栗縣,2018/04,三義,2.4,0.29,-,42.7,45,28,9.8,1.12,8.67,-,-,-,2.55,2.31,20.87,2.81,5.14,78.38,30.98
57,彰化縣,2018/04,彰化,3.8,0.43,-,35.4,62,30,13.62,0.89,12.73,2.059,0.152,1.907,3.99,3.32,24.98,-,-,72.65,-
58,彰化縣,2018/04,線西,3.2,0.36,-,41,59,29,13.1,1.47,11.62,2.091,0.098,1.994,1,0.63,24.86,-,-,74.99,-
59,彰化縣,2018/04,二林,3.3,0.32,-,34.5,62,32,10.27,1.44,8.82,-,-,-,2.21,2,24.26,-,-,75.57,-
60,南投縣,2018/04,南投,2.4,0.43,-,26.7,63,29,17.11,1.89,15.21,2.025,0.265,1.761,1.56,1.21,25.52,5.9,5.6,68.59,21.96
61,南投縣,2018/04,埔里,2.1,0.37,-,36.5,43,28,12.33,1.43,10.89,-,-,-,1.5,1.2,22.95,-,-,81.45,-
62,南投縣,2018/04,竹山,2.6,0.31,-,36.3,59,33,12.43,1.58,10.85,-,-,-,1.43,1.06,23.92,-,-,74.89,-
63,雲林縣,2018/04,斗六,3,0.35,-,39.6,64,30,13.59,1.83,11.76,-,-,-,1.61,1.29,25.54,-,-,69.12,-
64,雲林縣,2018/04,崙背,3.1,0.31,-,41.2,66,32,10.77,1.67,9.09,-,-,-,2.07,1.84,25.15,2.53,5.54,73.94,32.36
65,雲林縣,2018/04,麥寮,3,0.31,-,38.4,83,32,11.53,2.23,9.3,2.207,0.069,2.139,2.67,2.39,23.71,-,-,75.18,-
66,雲林縣,2018/04,臺西,3.4,0.27,-,46.1,80,30,11.2,1.71,9.49,2.123,0.033,2.094,3.96,3.76,24.22,-,-,77.52,-
67,嘉義縣,2018/04,朴子,3.2,0.33,-,43.2,81,30,10.81,1.72,9.09,-,-,-,2.01,1.68,25.3,-,-,71.82,-
68,嘉義縣,2018/04,新港,3,0.33,-,38.2,73,31,11.99,2.09,9.9,-,-,-,2.09,1.81,24.52,-,-,67.09,-
69,屏東縣,2018/04,屏東,3.1,0.39,-,39.1,61,27,13.7,1.1,12.59,2.105,0.1,2.005,1.85,1.48,26.53,-,-,67.3,-
70,屏東縣,2018/04,潮州,2.6,0.28,-,37.5,64,23,10.18,0.91,9.26,-,-,-,1.73,1.47,25.64,-,-,68.91,-
71,屏東縣,2018/04,恆春,1.6,0.15,413.81,43.4,34,12,2.27,0.59,1.64,-,-,-,5.59,5.33,24.94,4.06,5.17,77.66,23.86
72,臺東縣,2018/04,臺東,1.2,0.31,-,29.8,33,12,7.45,1.9,5.55,-,-,-,1.91,1.54,24.1,2.88,5.01,75.66,54.04
73,臺東縣,2018/04,關山,2.2,-,-,26.8,31,11,4.64,1.44,3.21,-,-,-,1.35,1.14,22.71,-,-,79.17,-
74,花蓮縣,2018/04,花蓮,1.7,0.27,-,35.2,39,10,6.5,0.98,5.51,-,-,-,2.32,2.03,22.88,1.03,4.83,75.29,65.87
75,澎湖縣,2018/04,馬公,1.7,0.25,-,47,44,18,4.97,1.28,3.69,-,-,-,2.92,2.34,23.83,2.13,4.62,82.1,51.25
76,金門縣,2018/04,金門,3.8,0.28,-,44.6,74,32,12.2,1.25,10.92,-,-,-,2.75,2.41,22.65,1.49,4.89,73.99,38.6
77,連江縣,2018/04,馬祖,2.7,0.29,-,51.3,71,29,8.29,0.94,7.31,-,-,-,2.09,1.73,19.06,2.62,4.35,81.72,68.29
,,,,,,,,,,,,,,,,,,,,,,
