序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
48,桃園市,1998/01,龍潭,5.1,0.7,16.1,52.0,-,34,9.72,24.34,-,-,-,14.06,-,-
49,桃園市,1998/01,平鎮,5.8,0.89,19.8,47.0,-,39,12.26,26.36,2.45,0.31,2.14,15.44,-,-
50,桃園市,1998/01,觀音,5.9,0.42,30.3,39.0,-,14,2.75,11.43,2.21,0.12,2.09,15.44,-,-
51,新竹縣,1998/01,竹東,2.5,0.64,17.0,53.0,-,33,10.44,22.08,-,-,-,15.12,-,-
52,新竹縣,1998/01,湖口,3.7,0.56,27.0,54.0,-,24,6.4,17.31,-,-,-,15.44,-,-
53,苗栗縣,1998/01,苗栗,4.9,0.81,12.9,52.0,-,40,14.91,25.18,-,-,-,15.52,-,-
54,苗栗縣,1998/01,頭份,11.7,-,-,51.0,-,38,16.47,21.98,2.56,0.29,2.27,15.7,-,-
55,苗栗縣,1998/01,三義,2.3,0.3,16.3,42.0,-,26,5.82,20.22,2.45,0.39,2.06,13.56,-,-
56,彰化縣,1998/01,彰化,6.7,1.0,17.1,82.0,-,46,20.33,25.96,2.47,0.63,1.8,17.28,-,-
57,彰化縣,1998/01,線西,6.9,-,-,60.0,-,30,8.75,21.36,1.94,0.15,2.01,16.85,-,-
58,彰化縣,1998/01,二林,6.2,0.53,23.9,71.0,-,29,8.56,21.1,-,-,-,16.82,-,-
59,南投縣,1998/01,南投,3.1,0.9,15.1,79.0,-,40,12.66,27.57,2.41,0.44,1.97,17.64,-,-
60,南投縣,1998/01,竹山,3.6,0.77,16.9,95.0,-,37,10.42,26.12,-,-,-,16.96,-,-
61,雲林縣,1998/01,斗六,7.5,0.99,13.4,82.0,-,42,15.15,26.84,-,-,-,17.57,-,-
62,雲林縣,1998/01,崙背,6.2,0.54,20.8,81.0,-,24,4.65,19.45,-,-,3.94,16.75,-,-
63,雲林縣,1998/01,臺西,6.3,0.47,29.6,70.0,-,17,2.74,13.87,-,-,-,17.19,-,-
64,嘉義縣,1998/01,朴子,4.8,0.54,17.8,74.0,-,23,4.83,18.2,-,-,-,17.68,-,-
65,嘉義縣,1998/01,新港,5.5,0.74,24.9,83.0,-,31,7.79,23.01,-,-,-,17.37,-,-
66,屏東縣,1998/01,屏東,5.3,0.8,25.1,103.0,-,33,5.05,27.74,2.7,0.36,2.34,21.18,-,-
67,屏東縣,1998/01,潮州,5.5,0.75,26.9,114.0,-,31,4.55,26.72,-,-,-,20.75,-,-
68,屏東縣,1998/01,恆春,0.6,0.26,37.8,20.0,-,2,0.1,2.26,-,-,-,21.44,-,-
69,臺東縣,1998/01,臺東,0.5,0.51,24.6,25.0,-,14,3.78,10.59,2.43,0.21,2.22,19.65,-,-
70,花蓮縣,1998/01,花蓮,1.2,0.86,15.9,39.0,-,29,10.59,18.85,2.32,0.32,2.01,18.92,-,-
,,,,,,,,,,,,,,,,,
