序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
60,南投縣,1998/07,埔里,1.6,0.5,21.7,-,-,10,1.48,8.82,-,-,-,27.16,-,-
61,南投縣,1998/07,竹山,0.7,0.3,22.4,31.0,-,13,4.45,10.28,-,-,-,28.48,-,-
62,雲林縣,1998/07,斗六,3.2,0.49,15.5,29.0,-,14,3.46,10.81,-,-,-,29.37,-,-
63,雲林縣,1998/07,崙背,-,0.27,8.6,37.0,-,10,2.87,7.09,-,-,-,28.69,-,-
64,雲林縣,1998/07,臺西,0.5,0.19,22.8,40.0,-,7,1.77,4.93,-,-,-,28.97,-,-
65,嘉義縣,1998/07,朴子,1.0,0.4,9.8,27.0,-,11,2.92,7.68,-,-,-,29.76,-,-
66,嘉義縣,1998/07,新港,1.4,0.31,18.4,-,-,13,4.28,9.03,-,-,-,29.19,-,-
67,屏東縣,1998/07,屏東,3.8,0.46,11.5,33.0,-,15,3.56,11.75,2.24,0.2,2.04,29.93,-,-
68,屏東縣,1998/07,潮州,1.5,0.35,17.0,28.0,-,12,2.96,9.21,-,-,-,29.3,-,-
69,屏東縣,1998/07,恆春,0.2,0.15,16.3,18.0,-,2,0.92,0.88,-,-,-,28.38,-,-
70,臺東縣,1998/07,臺東,0.4,0.43,19.1,29.0,-,10,2.62,7.29,2.13,0.12,2.01,29.33,-,-
71,花蓮縣,1998/07,花蓮,0.8,0.48,17.2,32.0,-,16,4.82,10.76,1.94,0.16,1.78,30.17,-,-
,,,,,,,,,,,,,,,,,
