序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
51,苗栗縣,2013/01,苗栗,3.3,0.58,-,22.1,54,29,8.89,19.87,-,-,-,15.96,79.43
52,苗栗縣,2013/01,頭份,3.4,0.49,-,27.2,51,24,5.65,17.85,2.17,0.155,2.014,15.89,77.12
53,苗栗縣,2013/01,三義,1.9,0.39,-,30.3,38,13,2.09,11.21,-,-,-,13.79,85.8
54,彰化縣,2013/01,彰化,3.3,0.62,-,23.3,59,29,7.23,21.46,1.9,0.233,1.667,16.27,72.61
55,彰化縣,2013/01,線西,4.6,0.44,-,30.5,59,19,3.76,15.45,1.84,0.114,1.728,15.84,81.74
56,彰化縣,2013/01,二林,3.8,0.43,-,27.1,72,15,2.69,12.25,-,-,-,16.68,78.02
57,南投縣,2013/01,南投,2.6,0.65,-,20.3,65,29,6.62,22.2,2.18,0.247,1.936,16.87,71.86
58,南投縣,2013/01,埔里,1.9,0.55,-,24.0,47,19,3.35,15.42,-,-,-,17.01,75.29
59,南投縣,2013/01,竹山,2.9,0.52,-,23.7,59,22,3.51,18.24,-,-,-,16.54,72.19
60,雲林縣,2013/01,斗六,3.3,0.55,-,23.1,77,23,3.87,18.69,-,-,-,17.62,73.15
61,雲林縣,2013/01,崙背,3.4,0.47,-,29.3,74,16,2.62,13.51,-,-,-,16.97,81.9
62,雲林縣,2013/01,麥寮,2.8,0.38,-,36.0,62,12,2.16,9.39,1.99,0.069,1.918,17.81,84.37
63,雲林縣,2013/01,臺西,2.7,0.37,-,40.9,57,9,1.43,7.55,1.96,0.072,1.885,16.64,83.35
64,嘉義縣,2013/01,朴子,3.0,0.42,-,29.2,98,15,2.28,12.36,-,-,-,17.19,75.47
65,嘉義縣,2013/01,新港,3.2,0.48,-,28.5,89,17,3.48,13.77,-,-,-,16.78,75.96
66,屏東縣,2013/01,屏東,3.0,0.63,-,27.3,85,21,2.75,18.59,2.13,0.192,1.933,19.64,71.83
67,屏東縣,2013/01,潮州,3.2,0.52,-,30.8,96,18,2.1,15.45,-,-,-,19.43,77.42
68,屏東縣,2013/01,恆春,1.0,0.24,403.87,45.1,24,2,0.95,1.28,-,-,-,20.54,75.48
69,臺東縣,2013/01,臺東,1.1,0.41,-,31.4,29,9,2.31,6.96,-,-,-,19.63,73.1
70,臺東縣,2013/01,關山,1.2,-,-,29.0,25,7,1.57,5.19,-,-,-,17.6,79.34
71,花蓮縣,2013/01,花蓮,1.4,0.53,-,24.5,26,17,4.35,12.71,-,-,-,19.08,76.39
72,澎湖縣,2013/01,馬公,3.0,0.38,-,42.1,57,7,1.2,5.3,-,-,-,16.14,75.79
73,金門縣,2013/01,金門,8.0,0.59,-,28.4,98,22,3.74,18.38,-,-,-,13.96,69.05
74,連江縣,2013/01,馬祖,4.3,0.49,-,40.0,68,12,1.9,10.23,-,-,-,10.33,79.97
,,,,,,,,,,,,,,,,
