序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
25,臺南市,1998/05,善化,4.0,0.42,23.9,39.0,-,14,3.03,11.54,-,-,-,27.13,-,-
26,臺南市,1998/05,安南,5.7,0.57,29.0,43.0,-,23,5.24,17.32,-,-,-,27.52,-,-
27,臺南市,1998/05,臺南,6.5,0.77,21.6,52.0,-,26,6.92,18.95,2.44,0.29,2.15,27.06,-,-
28,高雄市,1998/05,左營,8.5,0.75,26.1,48.0,-,30,8.39,21.63,2.51,0.32,2.2,28.0,-,-
29,高雄市,1998/05,楠梓,6.3,0.5,22.4,50.0,-,31,9.47,21.5,2.55,0.36,2.19,27.91,-,-
30,高雄市,1998/05,前金,7.9,0.81,22.7,57.0,-,30,8.73,21.3,-,-,-,27.92,-,-
31,高雄市,1998/05,前鎮,12.4,-,-,61.0,-,43,14.43,28.08,2.46,0.51,1.93,28.24,-,-
32,高雄市,1998/05,復興,11.5,1.04,-,52.0,-,44,17.66,26.34,2.58,0.65,1.93,27.88,-,-
33,高雄市,1998/05,小港,14.5,0.89,20.4,60.0,-,46,17.74,27.97,2.48,0.32,2.16,28.21,-,-
34,高雄市,1998/05,鳳山,9.8,0.84,20.2,56.0,31,33,8.81,24.63,-,-,-,28.43,-,-
35,高雄市,1998/05,林園,4.4,0.42,22.9,40.0,49,14,2.23,11.11,2.38,0.3,2.08,27.66,-,-
36,高雄市,1998/05,大寮,8.9,0.63,23.7,-,-,21,4.5,16.65,2.51,0.29,2.22,28.5,-,-
37,高雄市,1998/05,仁武,11.4,0.67,29.3,52.0,-,31,8.49,22.87,2.63,0.31,2.32,27.88,-,-
38,高雄市,1998/05,橋頭,5.9,0.6,24.2,60.0,-,26,6.13,19.48,2.49,0.16,2.34,27.04,-,-
39,高雄市,1998/05,美濃,1.4,0.46,23.9,43.0,-,11,1.08,9.51,-,-,-,27.48,-,-
40,基隆市,1998/05,基隆,5.8,0.83,23.3,40.0,-,35,10.24,24.83,2.62,0.33,2.3,25.6,-,-
41,新竹市,1998/05,新竹,6.6,0.72,25.0,39.0,-,33,11.38,21.86,2.59,0.34,2.25,27.09,-,-
42,嘉義市,1998/05,嘉義,4.8,0.93,23.4,55.0,-,30,6.95,23.28,2.75,0.38,2.37,27.35,-,-
43,宜蘭縣,1998/05,宜蘭,1.2,0.51,-,27.0,-,14,2.08,12.29,-,-,-,25.13,-,-
44,宜蘭縣,1998/05,冬山,1.8,0.7,12.7,29.0,-,25,10.56,14.45,2.31,0.12,2.18,25.36,-,-
45,桃園市,1998/05,桃園,13.9,0.97,18.9,58.0,-,43,12.32,30.41,2.58,0.64,1.93,25.93,-,-
46,桃園市,1998/05,中壢,6.9,1.43,-,43.0,-,72,34.63,37.75,-,-,-,25.99,-,-
47,桃園市,1998/05,大園,5.5,0.55,25.0,39.0,-,30,10.07,19.99,-,-,-,25.74,-,-
48,桃園市,1998/05,龍潭,3.2,0.54,21.2,37.0,-,29,6.08,22.74,-,-,-,24.77,-,-
49,桃園市,1998/05,平鎮,5.5,0.85,25.5,36.0,-,33,7.73,24.81,2.37,0.3,2.07,26.29,-,-
50,桃園市,1998/05,觀音,7.9,0.44,26.6,41.0,-,22,5.13,16.81,3.05,0.21,2.87,25.98,-,-
51,新竹縣,1998/05,竹東,2.2,0.51,20.2,42.0,-,22,4.32,18.23,-,-,-,26.06,-,-
52,新竹縣,1998/05,湖口,3.9,0.58,28.8,59.0,-,28,8.04,19.74,-,-,-,26.63,-,-
53,苗栗縣,1998/05,苗栗,4.0,0.65,20.1,43.0,-,28,7.3,20.77,-,-,-,26.15,-,-
54,苗栗縣,1998/05,頭份,19.5,-,-,44.0,-,26,8.79,17.43,2.42,0.2,2.22,25.93,-,-
55,苗栗縣,1998/05,三義,2.7,0.28,13.6,44.0,-,21,4.74,16.02,2.12,0.08,2.05,23.62,-,-
56,彰化縣,1998/05,彰化,7.4,0.78,18.5,52.0,-,29,7.53,21.33,2.49,0.61,1.88,27.26,-,-
57,彰化縣,1998/05,線西,4.7,-,-,38.0,-,20,4.44,15.81,2.28,0.21,2.07,26.83,-,-
58,彰化縣,1998/05,二林,3.5,0.41,24.5,59.0,-,20,4.86,14.64,-,-,-,26.55,-,-
59,南投縣,1998/05,南投,2.3,0.59,23.1,32.0,-,21,3.72,17.0,2.04,0.16,1.9,26.64,-,-
60,南投縣,1998/05,竹山,2.3,0.48,29.8,48.0,-,20,3.72,16.37,-,-,-,25.74,-,-
61,雲林縣,1998/05,斗六,5.3,0.65,17.2,47.0,-,21,4.88,16.08,-,-,-,26.85,-,-
62,雲林縣,1998/05,崙背,-,0.41,13.9,68.0,-,15,2.69,12.73,1.78,0.11,1.67,26.33,-,-
63,雲林縣,1998/05,臺西,1.8,0.4,38.5,61.0,-,12,1.67,9.88,-,-,-,27.01,-,-
64,嘉義縣,1998/05,朴子,-,-,-,67.0,-,-,-,-,-,-,-,27.38,-,-
65,嘉義縣,1998/05,新港,3.6,0.47,28.5,61.0,-,18,4.45,13.85,-,-,-,26.9,-,-
66,屏東縣,1998/05,屏東,3.0,0.65,20.9,44.0,-,18,2.54,15.7,2.41,0.25,2.16,28.45,-,-
67,屏東縣,1998/05,潮州,0.9,0.42,25.7,44.0,-,13,1.8,10.73,-,-,-,27.76,-,-
68,屏東縣,1998/05,恆春,0.3,0.19,27.9,17.0,-,1,0.08,0.76,-,-,-,27.23,-,-
69,臺東縣,1998/05,臺東,0.4,0.45,18.7,25.0,-,10,2.92,7.18,2.26,0.14,2.12,26.92,-,-
70,花蓮縣,1998/05,花蓮,0.6,0.59,14.8,29.0,-,17,5.73,11.23,2.26,0.25,2.02,26.72,-,-
,,,,,,,,,,,,,,,,,
