序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
21,臺中市,2014/10,豐原,2.4,0.35,-,45.3,51,26,10.33,1.46,8.86,2.2,24.26,65.3
22,臺中市,2014/10,沙鹿,2.8,0.35,-,43.2,69,32,16.72,1.88,14.82,4.27,24.86,69.56
23,臺中市,2014/10,大里,3.2,0.54,428.05,39.1,64,36,23.31,2.87,20.44,2.01,24.73,63.02
24,臺南市,2014/10,新營,3.8,0.4,-,44.2,90,37,16.07,1.91,14.15,2.09,25.82,68.72
25,臺南市,2014/10,善化,4.0,0.37,430.21,42.0,79,38,15.24,1.88,13.36,2.38,27.05,71.04
26,臺南市,2014/10,安南,3.6,0.37,-,45.3,88,37,17.04,2.26,14.77,2.24,26.58,73.38
27,臺南市,2014/10,臺南,4.2,0.51,-,48.3,78,38,17.94,1.78,16.16,2.03,26.71,67.09
28,高雄市,2014/10,左營,5.0,0.51,-,51.8,83,38,17.76,1.84,15.91,2.04,26.71,71.83
29,高雄市,2014/10,楠梓,4.3,0.47,-,46.5,90,44,20.8,3.03,17.78,1.71,26.72,72.98
30,高雄市,2014/10,前金,4.5,0.52,-,52.2,85,35,18.64,2.41,16.22,2.0,26.93,69.4
31,高雄市,2014/10,前鎮,6.4,0.57,-,48.7,79,43,24.54,2.71,21.83,1.5,26.91,69.24
32,高雄市,2014/10,復興,5.6,0.74,-,38.9,81,37,27.62,4.14,23.48,0.83,27.42,67.68
33,高雄市,2014/10,小港,7.9,0.51,-,46.9,86,40,26.62,2.82,23.79,1.88,27.3,66.16
34,高雄市,2014/10,鳳山,5.8,0.63,-,48.1,90,38,21.97,2.19,19.77,1.57,27.42,65.96
35,高雄市,2014/10,林園,5.1,0.4,-,58.5,48,42,11.93,0.78,11.1,2.15,26.42,70.67
36,高雄市,2014/10,大寮,6.8,0.5,-,44.9,83,34,21.15,2.18,18.98,1.35,26.33,72.45
37,高雄市,2014/10,仁武,5.8,0.5,-,43.4,93,39,23.48,2.94,20.54,1.58,26.68,71.93
38,高雄市,2014/10,橋頭,4.2,0.47,-,45.0,91,38,18.57,2.02,16.55,2.13,26.61,71.11
39,高雄市,2014/10,美濃,2.6,0.38,-,48.9,69,34,9.34,1.26,8.07,1.13,27.11,68.1
40,基隆市,2014/10,基隆,1.7,0.31,-,42.9,38,22,9.61,1.91,7.69,1.55,24.51,77.08
41,新竹市,2014/10,新竹,1.9,0.41,-,42.9,52,31,16.81,1.83,14.97,2.97,24.99,66.65
42,嘉義市,2014/10,嘉義,3.9,0.51,-,40.7,86,39,20.79,3.61,17.18,2.06,26.67,68.75
43,宜蘭縣,2014/10,宜蘭,2.6,0.32,410.69,38.4,49,16,7.91,1.29,6.62,1.62,24.22,71.02
44,宜蘭縣,2014/10,冬山,1.0,0.28,-,32.9,47,22,14.59,3.97,10.62,1.92,23.72,82.32
45,桃園市,2014/10,桃園,3.9,0.45,-,40.8,45,24,18.67,2.88,15.79,1.94,24.02,71.82
46,桃園市,2014/10,中壢,4.0,1.0,-,28.1,66,25,42.76,15.13,27.63,1.56,24.37,68.53
47,桃園市,2014/10,大園,3.7,0.3,-,43.8,55,24,19.48,3.24,16.23,5.45,24.95,69.3
48,桃園市,2014/10,龍潭,2.4,0.37,-,45.1,54,24,15.07,2.83,12.24,3.59,23.7,71.07
49,桃園市,2014/10,平鎮,3.5,0.39,-,40.0,58,26,17.25,1.99,15.25,3.16,24.23,71.88
50,桃園市,2014/10,觀音,5.6,0.27,-,43.1,62,22,13.7,1.17,12.5,6.13,24.45,70.28
51,新竹縣,2014/10,竹東,2.1,0.32,-,44.7,51,21,11.42,1.68,9.73,2.78,24.41,70.17
52,新竹縣,2014/10,湖口,3.3,0.32,-,45.4,57,18,13.63,2.06,11.57,4.27,25.31,67.4
53,苗栗縣,2014/10,苗栗,3.5,0.4,-,39.7,53,30,16.95,2.24,14.7,2.95,25.67,68.24
54,苗栗縣,2014/10,頭份,2.7,0.35,-,43.6,59,31,17.01,2.06,14.95,2.84,25.0,68.03
55,苗栗縣,2014/10,三義,2.1,0.27,-,48.0,47,29,9.34,1.21,8.12,3.78,22.7,74.68
56,彰化縣,2014/10,彰化,3.9,0.48,-,38.6,64,37,18.18,1.83,16.33,2.14,25.79,66.03
57,彰化縣,2014/10,線西,4.6,0.37,-,42.8,68,33,15.1,1.63,13.46,4.59,25.17,70.04
58,彰化縣,2014/10,二林,3.8,0.33,-,42.7,69,44,12.72,1.47,11.23,3.24,26.47,73.09
59,南投縣,2014/10,南投,2.5,0.51,-,36.9,76,37,19.5,2.4,17.11,1.57,26.51,67.92
60,南投縣,2014/10,埔里,2.2,0.43,-,44.2,57,42,13.56,1.36,12.19,1.57,25.09,66.93
61,南投縣,2014/10,竹山,2.9,0.38,-,43.4,77,37,15.24,1.36,13.87,1.38,24.44,70.59
62,雲林縣,2014/10,斗六,3.8,0.44,-,40.8,72,46,16.86,1.82,15.03,1.74,27.13,69.68
63,雲林縣,2014/10,崙背,3.7,0.36,-,41.6,85,37,12.04,1.84,10.2,2.84,24.75,72.05
64,雲林縣,2014/10,麥寮,4.0,0.34,-,43.6,127,37,13.17,2.06,11.11,3.81,25.64,74.76
65,雲林縣,2014/10,臺西,4.0,0.28,-,49.8,75,38,11.51,1.18,10.3,6.14,25.31,78.25
66,嘉義縣,2014/10,朴子,3.3,0.34,-,44.6,99,34,12.23,1.6,10.63,2.16,27.96,65.64
67,嘉義縣,2014/10,新港,3.2,0.36,-,42.6,89,36,12.16,1.68,10.47,2.35,25.14,75.3
68,屏東縣,2014/10,屏東,3.8,0.54,-,51.1,79,38,15.9,1.41,14.49,1.57,27.16,66.13
69,屏東縣,2014/10,潮州,3.3,0.36,-,53.1,71,37,9.47,0.91,8.54,1.5,26.09,71.45
70,屏東縣,2014/10,恆春,1.3,0.11,392.18,50.2,43,15,3.42,1.78,1.64,6.69,25.83,74.38
71,臺東縣,2014/10,臺東,1.1,0.31,-,38.1,43,15,6.12,1.73,4.38,2.25,26.0,65.97
72,臺東縣,2014/10,關山,1.3,-,-,32.8,35,15,4.94,1.72,3.23,1.74,23.52,71.62
73,花蓮縣,2014/10,花蓮,1.7,0.3,-,37.2,39,15,9.05,1.27,7.77,2.63,25.11,68.89
74,澎湖縣,2014/10,馬公,1.5,0.22,-,55.3,56,23,3.91,1.92,1.99,5.46,25.96,69.95
75,金門縣,2014/10,金門,5.3,0.35,-,56.8,82,34,10.14,0.82,9.27,3.01,24.76,62.32
76,連江縣,2014/10,馬祖,2.9,0.27,-,61.7,59,29,6.0,1.68,4.33,4.04,23.42,70.0
,,,,,,,,,,,,,,,
