序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
67,嘉義縣,2015/05,新港,2.2,0.26,-,24.6,39,17,10.65,2.34,8.3,2.11,27.3,83.69
68,屏東縣,2015/05,屏東,2.4,0.35,-,22.8,36,13,13.45,2.11,11.33,1.75,28.47,70.89
69,屏東縣,2015/05,潮州,2.2,0.21,-,24.3,34,15,9.58,1.76,7.82,1.75,27.62,76.2
70,屏東縣,2015/05,恆春,1.2,0.09,399.01,33.4,26,8,3.64,1.4,2.23,4.5,27.14,84.18
71,臺東縣,2015/05,臺東,1.2,0.35,-,26.8,21,9,7.92,1.98,5.93,1.59,26.6,77.86
72,臺東縣,2015/05,關山,1.3,-,-,22.8,17,8,4.49,1.83,2.66,1.24,25.5,78.83
73,花蓮縣,2015/05,花蓮,1.7,0.31,-,27.9,26,10,8.87,1.61,7.25,2.17,26.45,80.67
74,澎湖縣,2015/05,馬公,2.8,0.22,-,33.9,26,14,7.97,3.03,4.94,2.46,27.08,80.2
75,金門縣,2015/05,金門,4.0,0.28,-,38.8,50,25,11.74,1.82,9.92,3.05,24.24,81.66
76,連江縣,2015/05,馬祖,2.7,0.26,-,48.6,46,24,8.02,1.6,6.41,3.45,22.34,83.12
,,,,,,,,,,,,,,,
