序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/09,大里,2.5,0.38,429.2,30.8,44,14,15.13,2.79,12.34,1.964,0.148,1.815,2.14,1.73,28.7,-,-,69.97,-
25,臺南市,2018/09,新營,2.4,0.26,-,29.8,50,22,9.03,1.05,7.97,2.059,0.068,1.991,1.95,1.63,28.76,0.88,6.19,76.25,17.15
26,臺南市,2018/09,善化,2.4,0.22,424.92,28.4,42,16,9.17,1.63,7.54,-,-,-,2.4,2.17,28.35,-,-,79.68,-
27,臺南市,2018/09,安南,2.4,0.27,-,33.3,48,18,11.26,1.8,9.44,2.117,0.118,1.998,2.4,2.05,29.03,-,-,74.9,-
28,臺南市,2018/09,臺南,2.6,0.32,-,32.7,47,18,11.04,1.92,9.12,1.975,0.112,1.863,2.1,1.71,28.93,-,-,76.34,-
29,高雄市,2018/09,左營,2.9,0.31,-,31.1,47,16,12.89,1.69,11.19,1.962,0.112,1.851,2.23,1.92,28.72,-,-,77.7,-
30,高雄市,2018/09,楠梓,2.4,0.3,-,31.1,48,22,14.19,2.99,11.19,2.014,0.152,1.862,1.78,1.48,28.62,-,-,77.18,-
31,高雄市,2018/09,前金,3,0.34,-,32.8,45,19,12.62,2.24,10.38,1.959,0.098,1.861,2.28,1.93,28.73,-,-,77.16,-
32,高雄市,2018/09,前鎮,4.5,0.46,-,27.6,48,14,21.07,4.61,16.46,2.069,0.15,1.919,1.51,1.14,29.28,-,-,74.43,-
33,高雄市,2018/09,復興,4.3,0.5,-,27.8,41,15,19.43,4.07,15.36,2.076,0.194,1.882,0.99,0.72,29.57,-,-,73.88,-
34,高雄市,2018/09,小港,7.1,0.35,-,27,48,15,20.58,4.31,16.27,2.008,0.153,1.855,1.85,1.62,30.02,2.22,5.56,76.86,29.01
35,高雄市,2018/09,鳳山,3,0.42,-,30.7,39,16,15,1.94,13.06,2.049,0.16,1.889,1.77,1.35,29.59,2.08,5.7,72.16,63.29
36,高雄市,2018/09,林園,3.3,0.23,-,34.2,39,16,7.86,0.94,6.92,2.023,0.057,1.966,2.39,2.11,28.66,-,-,78.67,-
37,高雄市,2018/09,大寮,4.2,0.31,-,28.4,41,20,13.6,2.19,11.41,2.239,0.143,2.096,1.47,1.24,28.42,-,-,82.69,-
38,高雄市,2018/09,仁武,3.4,0.31,-,32.6,46,16,14.12,2.14,11.97,2.081,0.131,1.949,1.9,1.64,28.6,-,-,77.66,-
39,高雄市,2018/09,橋頭,2.3,0.29,-,28.9,45,23,11.51,1.58,9.92,-,-,-,2.29,1.98,29.37,2.38,5.96,77.92,27.22
40,高雄市,2018/09,美濃,1.4,0.22,-,29.2,36,11,4.97,1.22,3.75,-,-,-,1.05,0.76,28.47,-,-,78.8,-
41,基隆市,2018/09,基隆,2,0.22,-,29.2,23,11,10.18,1.99,8.19,1.918,0.068,1.85,1.75,1.26,28.05,-,-,75.45,-
42,新竹市,2018/09,新竹,2.4,0.31,-,29.3,33,21,11.73,1.6,10.13,1.871,0.084,1.787,2.28,1.76,28.49,-,-,72.65,-
43,嘉義市,2018/09,嘉義,3.2,0.31,-,31,44,17,12.03,1.49,10.54,1.921,0.097,1.824,1.92,1.63,28.03,-,-,73.7,-
44,宜蘭縣,2018/09,宜蘭,1.9,0.2,414.95,24.5,30,8,5.37,1.07,4.29,-,-,-,1.79,1.41,27.74,-,-,76.04,-
45,宜蘭縣,2018/09,冬山,1.9,0.2,-,22.3,28,9,8.85,2.84,6.01,-,-,-,2.24,1.88,27.7,3.67,4.9,79.46,34.7
46,桃園市,2018/09,桃園,4.8,0.38,-,25.9,35,18,16.36,2.75,13.61,2.093,0.158,1.935,2.01,1.63,28.64,-,-,73.6,-
47,桃園市,2018/09,中壢,3,0.84,-,18,41,13,41.77,18.72,23.05,2.089,0.286,1.804,1.31,0.67,27.94,-,-,75.98,-
48,桃園市,2018/09,大園,3,0.24,-,33.4,41,17,13.78,2.81,10.98,-,-,-,4.44,4.15,28.32,-,-,73.57,-
49,桃園市,2018/09,龍潭,2.6,0.3,-,33.1,33,18,12.08,1.88,10.19,-,-,-,2.64,2.37,26.68,-,-,78.08,-
50,桃園市,2018/09,平鎮,2.9,0.32,-,30.4,42,18,16.41,1.79,14.62,-,-,-,2.32,2.01,27.5,-,-,78.32,-
51,桃園市,2018/09,觀音,3.5,0.22,-,34.4,48,18,8.29,0.93,7.44,-,-,-,4.06,3.69,27.43,2.81,4.21,81.68,82.75
52,新竹縣,2018/09,竹東,1.8,0.24,-,25.9,32,12,8.58,1.98,6.61,-,-,-,1.53,1.12,28.18,-,-,78.1,-
53,新竹縣,2018/09,湖口,2.6,0.22,-,35,38,18,9.75,1.71,8.04,-,-,-,3.35,3.06,27.43,-,-,78.86,-
54,苗栗縣,2018/09,苗栗,2.4,0.3,-,28.5,53,24,11.32,1.95,9.37,-,-,-,2.41,1.99,28.74,-,-,76.13,-
55,苗栗縣,2018/09,頭份,2.6,0.25,-,32.3,36,18,11.58,1.59,9.98,1.98,0.063,1.917,2.63,2.2,27.94,-,-,75.23,-
56,苗栗縣,2018/09,三義,2.6,0.21,-,33.9,33,18,8.08,1.29,6.79,-,-,-,3.19,2.96,25.2,4.67,5.4,81.25,19.55
57,彰化縣,2018/09,彰化,3.3,0.39,-,35.2,44,21,13.3,1.61,11.69,2.023,0.164,1.859,0.92,0.41,28.62,-,-,71.63,-
58,彰化縣,2018/09,線西,3.1,0.26,-,35.5,37,20,9.48,1.58,7.89,1.967,0.068,1.898,3.81,3.55,28.25,-,-,78.67,-
59,彰化縣,2018/09,二林,3.6,0.22,-,30.2,48,23,7.94,1.48,6.45,-,-,-,2.88,2.64,28.28,-,-,79.23,-
60,南投縣,2018/09,南投,2,0.34,-,24.5,36,16,13.14,1.81,11.33,1.926,0.128,1.798,1.75,1.35,28.28,3.32,6.62,71.58,16.57
61,南投縣,2018/09,埔里,1.9,0.25,-,31.1,26,19,9.8,1.82,7.98,-,-,-,1.74,1.36,26.82,-,-,81.42,-
62,南投縣,2018/09,竹山,2.1,0.22,-,29.4,38,19,8.31,1.96,6.34,-,-,-,1.41,1.01,27.26,-,-,80.46,-
63,雲林縣,2018/09,斗六,2.8,0.28,-,32.9,39,18,10.59,2.18,8.42,-,-,-,1.77,1.41,29.03,-,-,74.03,-
64,雲林縣,2018/09,麥寮,2.9,0.24,-,31.3,68,23,9.82,2.34,7.48,2.073,0.067,2.006,3.17,2.88,27.31,-,-,80.3,-
65,雲林縣,2018/09,臺西,3.2,0.18,-,35.4,34,19,8.36,2.13,6.23,1.997,0.026,1.977,4.85,4.59,27.93,-,-,84.7,-
66,嘉義縣,2018/09,朴子,2.5,0.24,-,33.2,60,18,8.84,1.79,7.06,-,-,-,2.18,1.85,29.23,-,-,79.16,-
67,嘉義縣,2018/09,新港,2.2,0.25,-,32,47,22,9.9,1.67,8.22,-,-,-,2.29,2,28.38,-,-,70.98,-
68,屏東縣,2018/09,屏東,2.4,0.35,-,31.6,37,18,10.5,0.91,9.57,2.012,0.087,1.924,1.67,1.34,28.9,-,-,78.17,-
69,屏東縣,2018/09,潮州,2.1,0.22,-,29.4,38,18,7.22,0.91,6.32,-,-,-,1.6,1.27,27.77,-,-,82.88,-
70,屏東縣,2018/09,恆春,-,0.08,402.25,26.8,17,9,2.76,1,1.74,-,-,-,3.94,3.67,27.64,3.58,5.2,86.82,14.61
71,臺東縣,2018/09,臺東,1.2,0.23,-,17.6,33,6,5.96,2.39,3.57,-,-,-,1.93,1.54,28.4,3.17,5.4,77.88,19.96
72,臺東縣,2018/09,關山,1.5,-,-,13.9,22,8,3.75,1.64,2.11,-,-,-,1.1,0.99,27.17,-,-,78.46,-
73,花蓮縣,2018/09,花蓮,1.6,0.17,-,20.5,26,5,4.82,1.17,3.63,-,-,-,2.22,1.92,27.83,2.54,5.25,74.18,12.48
74,澎湖縣,2018/09,馬公,1.8,0.16,-,42.1,30,12,4.65,1.47,3.18,-,-,-,3.67,3.18,27.71,0.5,6.44,77.74,14.8
75,金門縣,2018/09,金門,3.1,0.21,-,41.6,45,20,8.69,1.13,7.55,-,-,-,2.94,2.62,28.58,2.19,4.33,72.64,36.67
76,連江縣,2018/09,馬祖,2.6,0.16,-,47,40,16,4.27,0.62,3.61,-,-,-,2.82,2.94,26.65,1.32,6.16,80.64,233.51
,,,,,,,,,,,,,,,,,,,,,,
