序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
24,臺中市,2018/06,大里,2.6,0.35,425.14,30.2,39,12,14.48,2.51,11.96,1.906,0.138,1.768,1.96,1.57,29.05,-,-,71.14,-
25,臺南市,2018/06,新營,2.5,0.24,-,26.6,47,17,8.39,0.95,7.42,2.022,0.071,1.951,1.87,1.48,29.02,3.52,6.21,76.65,13.38
26,臺南市,2018/06,善化,2.6,0.2,427.46,25.4,39,12,8.42,1.72,6.7,-,-,-,2.41,2.25,28.72,-,-,80.38,-
27,臺南市,2018/06,安南,2.6,0.27,-,30.2,44,14,12.05,2.61,9.43,2.076,0.168,1.908,2.71,2.41,29.49,-,-,76.26,-
28,臺南市,2018/06,臺南,2.6,0.29,-,30,33,13,11.35,2.28,9.07,1.909,0.105,1.804,2.34,2.01,28.94,-,-,78.35,-
29,高雄市,2018/06,左營,2.2,0.3,-,28.2,38,12,13.12,2.2,10.91,1.924,0.103,1.82,2.28,1.9,29.01,-,-,79.59,-
30,高雄市,2018/06,楠梓,2.8,0.29,-,27.6,46,12,15.88,3.83,12.05,1.99,0.158,1.832,1.93,1.55,29.2,-,-,76.25,-
31,高雄市,2018/06,前金,3.5,0.3,-,28.3,40,12,13.46,2.84,10.62,1.91,0.105,1.805,2.16,1.78,29.31,-,-,79.86,-
32,高雄市,2018/06,前鎮,5.2,0.3,-,26.1,34,8,16.79,2.95,13.85,1.969,0.12,1.849,1.8,1.38,29.31,-,-,77.39,-
33,高雄市,2018/06,復興,4.9,0.41,-,25.5,30,9,17.67,3.85,13.82,1.981,0.159,1.822,0.98,0.81,29.28,-,-,77.45,-
34,高雄市,2018/06,小港,7.9,0.33,-,24.7,39,11,19.93,5.56,14.38,1.935,0.137,1.798,2.11,1.92,30.16,6.21,5.11,79.42,25.62
35,高雄市,2018/06,鳳山,3.1,0.38,-,25.2,26,12,14.53,2.45,12.08,2.04,0.136,1.903,1.84,1.51,29.95,4.96,5.47,73.85,34.47
36,高雄市,2018/06,林園,2.9,0.19,-,32.7,34,13,6.85,1.04,5.81,1.986,0.036,1.95,2.57,2.31,29.19,-,-,78.6,-
37,高雄市,2018/06,大寮,3.3,0.23,-,25.8,30,14,11.44,2.02,9.43,2.119,0.095,2.024,1.91,1.67,29.41,-,-,78.24,-
38,高雄市,2018/06,仁武,3.6,0.28,-,30,39,13,12.5,2.11,10.38,2.032,0.115,1.917,2.04,1.73,28.82,-,-,79.06,-
39,高雄市,2018/06,橋頭,2.9,0.26,-,24.5,30,9,12,2,10,-,-,-,2.67,2.38,29.33,4.26,5.56,79.84,19.24
40,高雄市,2018/06,美濃,1.5,0.2,-,26.7,30,7,4.69,1.02,3.66,-,-,-,1.33,1.06,28.33,-,-,79.66,-
41,基隆市,2018/06,基隆,2.7,0.25,-,31.9,21,12,11.84,2.15,9.67,1.976,0.088,1.888,1.29,0.92,27.23,-,-,82.1,-
42,新竹市,2018/06,新竹,1.7,0.31,-,25.7,24,14,14.07,1.93,12.14,1.901,0.093,1.808,2.03,1.5,29.17,-,-,69.44,-
43,嘉義市,2018/06,嘉義,3.1,0.26,-,29.1,41,14,10.44,1.69,8.74,1.851,0.085,1.766,1.82,1.53,28.36,-,-,74.32,-
44,宜蘭縣,2018/06,宜蘭,2.4,0.25,421.57,30.8,25,8,5.34,0.88,4.44,-,-,-,1.6,1.19,27.85,-,-,77.66,-
45,宜蘭縣,2018/06,冬山,2.1,0.24,-,26.4,29,15,9.4,2.85,6.55,-,-,-,1.75,1.41,26.45,3.36,4.86,81.38,24.71
46,桃園市,2018/06,桃園,5.9,0.36,-,28.3,32,15,15.78,2.7,13.07,2.117,0.14,1.978,1.87,1.47,28.26,-,-,72.42,-
47,桃園市,2018/06,中壢,3.3,0.86,-,18.3,42,11,42.36,19.52,22.85,2.103,0.289,1.814,1.32,0.69,28.52,-,-,73.68,-
48,桃園市,2018/06,大園,3.5,0.24,-,31.7,34,14,14.65,2.63,12.01,-,-,-,3.91,3.62,28.1,-,-,73.7,-
49,桃園市,2018/06,龍潭,2.3,0.28,-,32.1,31,14,11.97,2.12,9.86,-,-,-,2.51,2.26,27.14,-,-,75.63,-
50,桃園市,2018/06,平鎮,3.3,0.32,-,30.3,33,13,16.13,2.33,13.81,-,-,-,2.29,1.96,28.07,-,-,76.22,-
51,桃園市,2018/06,觀音,3.8,0.21,-,30,39,18,9.51,0.91,8.66,-,-,-,3.88,3.53,27.35,1.9,4.81,82.03,39.51
52,新竹縣,2018/06,竹東,1.8,0.22,-,26,29,12,8.26,1.97,6.29,-,-,-,1.93,1.53,28.03,-,-,75.88,-
53,新竹縣,2018/06,湖口,2.5,0.22,-,30.4,30,13,11.53,1.87,9.67,-,-,-,3.4,3.18,28.17,-,-,75.67,-
54,苗栗縣,2018/06,苗栗,2.5,0.28,-,28.1,32,19,11.68,1.97,9.71,-,-,-,2.35,1.95,29.5,-,-,73.62,-
55,苗栗縣,2018/06,頭份,2.5,0.24,-,29.4,32,10,12.49,1.8,10.68,2.016,0.078,1.938,2.5,2.12,28.47,-,-,72.93,-
56,苗栗縣,2018/06,三義,2.4,0.18,-,34.2,24,14,7.82,1.09,6.72,-,-,-,2.82,2.59,25.41,3.78,5.45,79.22,13.04
57,彰化縣,2018/06,彰化,4.4,0.3,-,28.7,36,16,10.53,0.94,9.61,1.973,0.126,1.847,4.02,3.43,29.24,-,-,78.69,-
58,彰化縣,2018/06,線西,3.1,0.24,-,32.8,29,12,9.97,1.2,8.78,2.061,0.153,1.908,3.16,2.98,29.62,-,-,79.97,-
59,彰化縣,2018/06,二林,3.7,0.22,-,28.1,37,19,8.75,1.63,7.11,-,-,-,2.53,2.3,28.57,-,-,79.04,-
60,南投縣,2018/06,南投,2.2,0.31,-,23.4,38,14,12.56,1.59,10.96,1.847,0.067,1.781,1.75,1.38,28.27,3.92,6.23,72.18,12.14
61,南投縣,2018/06,埔里,1.9,0.25,-,30.4,26,18,9.94,1.36,8.57,-,-,-,1.6,1.23,26.58,-,-,85.18,-
62,南投縣,2018/06,竹山,2.3,0.22,-,29.4,34,12,8.25,1.87,6.38,-,-,-,1.45,1.02,27.73,-,-,81.54,-
63,雲林縣,2018/06,斗六,2.5,0.27,-,32.3,42,16,10.56,2.14,8.42,-,-,-,1.66,1.32,29.72,-,-,73.55,-
64,雲林縣,2018/06,崙背,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,雲林縣,2018/06,麥寮,2.7,0.23,-,30.6,57,17,9.83,2.35,7.47,2.089,0.068,2.022,2.88,2.6,27.52,-,-,81.07,-
66,雲林縣,2018/06,臺西,3.2,0.19,-,34,36,17,9.36,2.16,7.21,1.975,0.03,1.95,4.08,3.87,28.05,-,-,82.91,-
67,嘉義縣,2018/06,朴子,2.6,0.23,-,31.5,56,15,9.16,1.83,7.33,-,-,-,2.17,1.87,29.44,-,-,80.35,-
68,嘉義縣,2018/06,新港,2.6,0.23,-,29.4,45,18,10.31,1.88,8.42,-,-,-,2.23,1.92,28.84,-,-,70.55,-
69,屏東縣,2018/06,屏東,2.5,0.34,-,28.1,36,12,11.95,1.53,10.41,2.025,0.093,1.933,1.98,1.61,29.28,-,-,78.35,-
70,屏東縣,2018/06,潮州,1.9,0.17,-,28,37,13,7.12,0.94,6.17,-,-,-,1.99,1.71,27.91,-,-,80.83,-
71,屏東縣,2018/06,恆春,1.7,0.1,400.08,34.1,-,8,2.25,0.67,1.55,-,-,-,4.47,4.22,28.33,3.74,5.59,84.57,15.27
72,臺東縣,2018/06,臺東,1.2,0.25,-,21.9,23,9,6.84,2.21,4.63,-,-,-,1.93,1.57,28.53,1.79,5.87,79.7,30.52
73,臺東縣,2018/06,關山,1.8,-,-,18.5,19,9,4.19,1.73,2.45,-,-,-,1.14,0.88,27.54,-,-,80.04,-
74,花蓮縣,2018/06,花蓮,1.8,0.21,-,27.2,25,5,5.57,1,4.57,-,-,-,2.22,1.91,27.84,3.65,4.47,77.36,40.32
75,澎湖縣,2018/06,馬公,1.8,0.18,-,39.5,21,10,5.64,1.77,3.87,-,-,-,3.03,2.47,28,2.18,5.38,88.04,31.65
76,金門縣,2018/06,金門,3,0.19,-,40.6,30,15,7.38,0.86,6.48,-,-,-,3.36,3.03,27.88,1.9,5.25,79.56,41.38
77,連江縣,2018/06,馬祖,2.6,0.16,-,49.2,36,15,3.34,0.57,2.74,-,-,-,2.91,2.54,25.42,1.36,5.32,85.22,79.95
,,,,,,,,,,,,,,,,,,,,,,
